Country,Cluster,Objective,Activity,Indicator,Unit,Chad_Target,Barh El Gazel_Target,Batha_Target,Borkou_Target,Chari Baguirmi_Target,Ennedi Est_Target,Guera_Target,Hadjer Lamis_Target,Kanem_Target,Lac_Target,Logone Occidental_Target,Logone Oriental_Target,Mandoul_Target,Mayo Kebbi Est_Target,Mayo Kebbi Ouest_Target,Moyen Chari_Target,NDjamena_Target,Ouaddai_Target,Salamat_Target,Sila_Target,Tandjile_Target,Tibesti_Target,Wadi Fira_Target
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute 'school-in-a-box' kits (blackboard, brushes, books, posters, notebooks etc.)",Number of 'school-in-a-box' kits distributed,Kits,120,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute 'school-in-box'(black board, brush, books, posters, notebooks etc.) in case of floods",Number of 'school-in-box' distributed,Kits,30,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute to teacher a kit equipment (call book, staples, notebooks, pens, markers, erasers etc.)",Number of kits equipment distributed,Kits,180,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribution of textbooks and pedagogical guides (reading, calculus, science and civic education)",Number of pedagogical guides distributed (1 per teacher),Materials,150,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribution of textbooks and pedagogical guides (reading, calculus, science and civic education)",Number of textbooks distributed (1 for 5 children),Materials,30148,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise catch-up courses depending on academic achievements,Number of children that have benefited from catch-up courses,Children,2000,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Rehabilitate/building of emergency classrooms in case of floods,Numver of ETAs built in case of floods,ETA,30,,,,,,,,,,,,,,,,,,,,,,
Chad,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Train/retrain the medical staff and community health agents on epidemic-prone diseases tools to collect information,"Number of reports with a comprehensive data that is available, up-to-date and shared",Reports,,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,52,52,52,52,52,52
Chad,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Train/retrain the medical staff and community health agents on epidemic-prone diseases tools to collect information,Number of trained people,People,,5,8,3,5,3,8,8,6,10,8,8,8,5,4,8,10,8,7,6,5,3,
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Distribute insecticide and malaria chemio-prophylaxis treated bed nets in areas at high and medium risk to transmit malaria, with a focus on the most vulnerable",Number of children receiving an anti-malarrial chemio-prophylaxis,Children,,6000,8000,0,10800,0,10000,10400,6000,8000,12000,14400,12000,14000,10000,10800,17600,13200,5600,7200,12000,0,12000
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Distribute insecticide and malaria chemio-prophylaxis treated bed nets in areas at high and medium risk to transmit malaria, with a focus on the most vulnerable",Number of households receiving treated nets,Households,,1500,2000,0,2700,0,2500,2600,1500,2000,3000,3600,3000,3500,2500,2700,4400,3300,1400,1800,3000,0,3000
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure a vaccination coverage of measles and penta for children under 5, and a antigens remedial vaccination from the Expanded Programme for Immunisation (EPI)",Number of children completely immunised against polio and penta,Children,0,1165,2215,430,2620,760,2430,2560,1510,1970,3120,3530,2845,3520,2550,2660,4300,3270,1370,1755,2290,220,2210
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure a vaccination coverage of measles and penta for children under 5, and a antigens remedial vaccination from the Expanded Programme for Immunisation (EPI)",Number of children having received a dosage of measles vaccine,Children,,2330,4425,850,5240,1520,4780,5135,4020,3930,6240,7060,5690,7080,61150,5340,6445,6550,2740,3510,6000,300,4700
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Organise awareness campaigns on good hygiene and care practices in rural and high density areas, especially in cholera-prone areas",Number of awareness campaigns organised,Campaigns,,2,4,2,4,2,4,4,2,4,4,4,4,2,4,3,4,4,4,3,4,1,3
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train/retrain in-charge health agents in the management of cases, epidemiological surveillance, monitoring or contacts and safe burial in the framework of the response to the preparedness of Ebola outbreak in identified structures",Number of health agents trained on Ebola virus preventive measures,Agents,,0,0,0,0,0,0,0,0,25,5,5,5,0,0,5,0,10,5,5,0,0,0
Chad,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Under the ARV for PLHIV out of treatment,PLHIV out of treatment under ARV free of charge,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure pregnancy monitoring, management of childbirths and complications (SONUB, SONOC), including the prevention of HIV transmission mother-child by a qualified staff",Number of displaced women having access to childbirth care services,Women,,0,0,0,0,0,,0,0,1000,750,900,650,0,0,2200,0,0,0,0,0,0,0
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure pregnancy monitoring, management of childbirths and complications (SONUB, SONOC), including the prevention of HIV transmission mother-child by a qualified staff",Number of women having access to childbirth care services,Women,,1282,2434,468,2882,836,2629,2824,2211,2162,3432,3883,3130,3884,3363,2937,3545,3603,1507,1931,3300,165,2585
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide , free-of-charge, medicines and other essential inputs, including ARVs, to health center as well as free care in hospitals located in host communities",Number of VPHIV that stopped treatment inder ARV,People,,2,4,0,5,2,5,5,3,4,6,7,6,7,5,5,9,7,3,4,6,0,5
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide and endure the provision of medicines and other essential inputs in hospitals for the medical care of SAM cases with complications,Number of children hospitalised for a SAM with complications,Children,,460,880,0,1050,0,980,1030,800,900,1450,1400,1410,1140,1020,1060,1700,1300,550,710,1200,0,960
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide free medicines and other essential inputs, includinf ARVs, to health centers in returnees' sites as well as free care in hospitals located in host communities",Number of health facilities provided with medicines and inputs,Health Facilities,,0,0,0,0,0,0,0,0,25,5,5,5,0,0,5,0,10,5,5,0,0,0
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide free medicines and other essential inputs, includinf ARVs, to health centers in returnees' sites as well as free care in hospitals located in host communities",Number of people cared for in primary health care centers in returnees' sites and in hospitals located in host communities,People,,,,,,,,,,,,,,,,,,,,,,,
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide information and a full range (to under 5) of contraceptive methods, including condoms",Displaced people educated on information related to the final planning,People,,0,0,0,0,0,0,0,0,1000,750,900,650,0,0,2200,0,0,0,0,,0,0
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the district or health delegation for the setting-up of a contingency stock (equipment, preventive and curative medicine, medical inputs etc.) to face main outbreaks and other serious diseases (malaria, infection etc.)",Percentage of health centers supported in the setting-up of a contingency stock,Health Centres,100,,,,,,,,,,,,,,,,,,,,,,
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Train health agents at community level, in primary health care centers as well as hospitals to manage main outbreak cases",Number of health agents trained on the care of main outbreak cases,Agents,,4,5,3,5,3,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,3,
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Train health agents at community level, primary health care centers and hospital centers to manage major outbreaks cases",Number of health agents trained trained to manage major outbreaks cases,Agents,,4,4,0,4,0,5,5,5,6,5,5,6,5,5,5,10,7,4,4,6,0,5
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Train/re-train health agents on how to manage malnutrition complications,Number of health agents trained,Agents,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Training of health agents in the care of complications related to malnutrition,Number of health agents trained,Agents,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Counselling for pregnant women on the best nutrition during prenatal consultation (PNC), the post-partum period and postnatal consultations (PONC)","Number of pregnant women receiving counsel, on the best nutrition during prenatal consultation (PNC), the post-partum period and postnatal consultations (PONC)",Women,273435,12436,23611,,,8117,26023,27401,16115,20968,,,,,,,45989,34860,14612,18729,,,2574
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deworming of children aged between 12-59 months and pregnant women,Number of children aged between 12-59 months being dewormed,Children,1283806,62104,107660,,,35248,118659,142789,69982,104717,,,,,,,169758,204366,69802,81333,,,117388
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deworming of children aged between 12-59 months and pregnant women,Number of pregnant women being dewormed,Women,273435,12436,23611,,,8117,26023,27401,16115,20968,,,,,,,45989,34860,14612,18729,,,24574
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Iron and folic acid supplementation for pregnant/lactating women,Number of pregnant/lactating womenr receiving an ion and folic acid supplementation,Women,273435,12436,23611,,,8117,26023,27401,16115,20968,,,,,,,45989,34860,14612,18729,,,24574
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",The Coverage supplementary feeding programme for 6-23 month-old children and pregnant/lactating women,Number of 6-23 month-old children cared for in the coverage supplementary feeding programme,Children,,15000,11100,,,600,,15000,34200,20100,,,,,,,6300,20100,14400,8400,,,15600
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",The Coverage supplementary feeding programme for 6-23 month-old children and pregnant/lactating women,Number of pregnant/lactating women cared for in the coverage supplementary feeding programme,Women,,4500,3330,,,180,57600,10260,,6030,,,,,,,1890,6030,4320,2520,,,4680
Chad,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Vitamin A supplementation for 6-59 month-old children,Number of 6-59 month-old children receiving a supplementation in vitamin A,Children,,12436,23611,,,8117,26023,27401,16115,20968,,,,,,,45989,34860,14613,18729,,,1177589
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition",Number of children from the RCA (under 5) with SAM cared for,Children,1534,,,,,,,,,,404,237,,,,893,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of refugee children from Sudan, under 5, with SAM, cared for",Children,1935,,,,,256,,,,,,,,,,,,864,,,,,816
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of refugee children from the RCA under 5, with MAM, cared for",Children,511,,,,,,,,,,30,245,,,,236,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of refugee children from the RCA under 5, with SAM, cared for",Children,489,,,,,,,,,,28,234,,,,227,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of refugee/returnee/Lake host children, under 5, with SAM, cared for",Children,,,,,,,,,,3164,,,,,,,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition",Number of refugee/returnee/Lake host FEFA,Pregnant Women,,,,,,,,,,439,,,,,,,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of refugee/returnee/Lake hosts children, under 5, with MAM, cared for",Children,,,,,,,,,,9981,,,,,,,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of returnee children from Sudan, under 5, with MAM, cared for",Children,2030,,,,,269,,,,,,,,,,,,905,,,,,856
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Continuous provision of 38 units of nutritional care, necessary to take care of children under 5 with acute malnutrition","Number of returnee children from the RCA under 5, with SAM, cared for",Children,2608,,,,,,,,,,2608,817,,,,1486,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Nutritional education on essential family practices (EFP) for malnourished mothers and children and PLW in need of nutritional care,Number of mothers and children receiving a nutritional education on EFP,Mothers,,6286,10171,,,634,4404,9636,8265,7420,,,,,,,12029,21376,3533,4665,,,7130
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Nutritional education on essential family practices (EFP) for malnourished mothers and children and PLW in need of nutritional care,Number of PLW receiving a nutritional education on EFP,Women,,3111,2635,,,,1499,3502,3568,1283,,,,,,,3518,1882,2170,1483,,,1461
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision to 482 health centers of necessary inputs for the care of children under 5 with SAM and MAM and PLW with acute malnutrition,Number of children under 5 with MAM cared for,Children,,16265,18268,,,1083,22323,27389,17554,24335,,,,,,,23482,41462,9398,13951,,,26414
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision to 482 health centers of necessary inputs for the care of children under 5 with SAM and MAM and PLW with acute malnutrition,Number of children under 5 with SAM cared for,Children,,6286,10171,,,634,4404,9636,8265,7420,,,,,,,12028,21376,3533,4665,,,7130
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision to 482 health centers of necessary inputs for the care of children under 5 with SAM and MAM and PLW with acute malnutrition,Number of PLW with acute malnutrition cared for,Women,,3111,2635,,,,1499,3502,3568,1283,,,,,,,3518,1882,2170,1483,,,1460
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Regular monitoring and trainings, if necessary, on the care of malnourished children and women for a national appropriation of the monitoring","Number of monitoring and trainings, if necessary, on the care of malnourished children and women for a national appropriation of the monitoring",Trainings,,1,1,,,,1,,1,1,,,,,,,,1,1,,,,1
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthening of management and monitoring capacities of regional inputs management committees to optimise the usage of nutritional inputs,Number of regional inputs management committees which capacities were strengthened to optimise the usage of nutritional inputs,Commitees,,1,1,,,,1,1,1,1,,,,,,,1,1,1,1,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Training or re-training of health professionals on acute malnutrition care’s protocol and on the usage of monitoring and management tools,Number of agents in charge of acute malnutrition care’ trained or following a training,Agents,26,,,,,,,,,,8,9,9,,,9,,,,,,,
Chad,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Training or re-training of health professionals on acute malnutrition care's protocol and on the appropriate usage of monitoring and management tools and the nutritional education of mothers,Number of health professionals in charge of acute malnutrition care trained or re-trained on the protocol of acute malnutrition care and on the appropriate usage of monitoring and management tools and the nutritional education of mothers,Staff,,50,37,,,2,64,50,114,67,,,,,,,21,67,48,28,,,52
Chad,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish an inter-ministerial committee for the issuance of identity papers to returnees,Functional committees,Commitees,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In collaboration with the government, deliver identity papers to people at risk of statelessness",Number of people at risk of statelessness having received identity papers,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Onsite profiling of returnees to identify those in need of identity papers,Number of profiling exercices that have been carried-out,Profiling,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of a psychosocial care mechanism in nutritional centers,Number of CNT/CNA with a psychosocial care mechanism,Nutritional Centers,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise awareness activities for returnees in the sites for a change of behavior and a GBV recovery,Number of information and educational campaigns organised,Campaigns,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise trainings for actors intervening to prevent VSBGs,Number of actors trained,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide a psychological support to trauma victims,Number of trauma victims who received a psychological support,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Set-up community protection mechanisms in general protection, children protection, against VBGs (leaders committees, women and young people committees, community system the identification and referencing of vulnerable people)",Number of functional community protection mechanisms set-up,Mechanisms,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implement a Family Tracing and Reunification (FTR) that registers, documents, researches and reunite families during an emergency situation",A FTR system is implemented and functional,Systems,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implement the Family Tracing and Reunification (FTR) which registers, documents, researches and reunites families during floods",A FTR system is implemented and functional during floods,Children,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of a referring system of VSBGs in returnees’ temporary sites,Number of VSBG referring systems,Systems,,,,,,,,,,,,1,,,,1,1,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Management of malnourished children 's emotional stimulation and psycho-social care of their accompanists,Number of couples (children/accompanists) cared for,Children,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Multi-sectral support to GBV victimes.survivors (medical care, psycho-social support, physical and legal protection)",Number of GBV survivors receiving a multi-sectoral care,Survivors,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthening care mechanisms (food, psycho-social support and recreational activities) in reception centers/children-friendly spaces in returnees' sites in case of floods",Number of children cared for during floods,Children,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthening of care mechanisms (food, psycho-social support, recreational activities) in reception centers/children-friendly spaces on returnees’ sites",Number of children cared for,Children,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Train returnees on psychological first aid, counselling and experience sharing",Number of returnees trained,Returnees,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analyse et cartographie des risques,Analyse et cartographie des risques,Regions,,,,,,,,,,,,,,,,,,,,1,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analyse et cartographie des risques,Nombre d'analyses réalisées,Analysis,1,,,,,,,,,,,,,,,,,,,,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Renforcement des capacités (formation/Ateliers) des acteurs nationaux et locaux en matière de RRC / Résilience,Nombre de CRA formés en RRC,Structures,,,,,,,1,,1,,1,,,,,1,,,,1,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Renforcement des capacités (formation/Ateliers) des acteurs nationaux et locaux en matière de RRC / Résilience,Nombre de formations réalisées,Trainings,,,,,,,1,,1,,1,,,,,1,3,,,1,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promotion d’une intégration sociale apaisée et de la coexistence pacifique par des campagnes d’informations à la paix,Nombre de campagnes mises en œuvres,Campaigns,,,,,,,,,,,3,3,,,,4,,,,2,,,
