Country,Cluster,Objective,Activity,Indicator,Unit,Nigeria_Target,Adamawa_Target,Bauchi_Target,Borno_Target,Gombe_Target,Kaduna_Target,Kano_Target,Nasarawa_Target,Plateau_Target,Rivers_Target,Taraba_Target,Yobe_Target,Zamfara_Target
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocate with Federal MoE for policy changes to increase girls’ enrolment, gender sensitive curricula and teacher training",Number of policies that address issues specific gender vis-à-vis education,Advocacy papers,5,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Conduct Back to School campaigns including mobilization of key traditional leaders, mother associations and school-based management committees (SBMCs)",Number of back to School campaigns conducted,Campaigns,30,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Construct/renovate school facilities to reduce risk of epidemics,Number of schools assisted,Schools,100,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Develop peace education and conflict prevention modules/support MOE to mainstream peace education and conflict prevention in the curriculum,Number of advocacy done at Federal MOE level,Advocacy,5,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Develop peace education and conflict prevention modules/support MOE to mainstream peace education and conflict prevention in the curriculum,Number of Education Emergency modules developed and mainstreamed in the curriculum,Modules,5,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Disseminate key messages on emergency life skills to children and youth in temporary learning spaces/schools,Number of emergency affected learning schools providing key messages,Schools,940,150,,300,20,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Disseminate key messages on emergency life skills to children and youth in temporary learning spaces/schools,Number of emergency affected learning space providing key messages,Learning Spaces,60,5,,23,2,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support and build capacity of local stakeholders (traditional leaders, PTAs, parents, school-based management committee etc)involved in education",Number of school-based management committee members in targeted areas trained on school management and adminstration,Members,200,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Teachers training including methodology, pedagogy and guidance in psycho social support","Number of teachers trained\ in psychosocial support, inter alia.",Teachers,250,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train MoE officials in education in emergency (EE) topics,Number of MoE officials trained,Officials,50,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train teachers and other educational personnel in hygiene promotion,Number of teachers and other educational personnel trained,People,110,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train teachers and other educational personnel in Peace Education, social cohesioon and conflict sensibility",Number of female trained,People,90,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train teachers and other educational personnel in Peace Education, social cohesioon and conflict sensibility",Number of male personnel trained,Men,110,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Coordinate education response with other sector/clusters,Transparent and active mechanisms exist to share information,Mechanisms,4,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute recreation kits in affected areas,Number of kits distributed to girls/boys,Kits,200,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute school in a box kits in affected areas,Number of school in box distributed,Kits,500,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute teaching and learning materials and supplementary reading and recreational materials incl. for IDP students,Percentage of students in need receiving reading and recreational materials,Students,25000,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distributed Early Childhood Development kits in affected areas,Number of ECD kits distributed to boys/girls,Kits,400,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support access to girl friendly water and sanitation facilities, flexibility in school calendars, and remedies /scholarship policies for affected schoolchildren",Number of girl friendly WASH facilities available,Facilities,100,,,,,,,,,,,,
Nigeria,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support access to girl friendly water and sanitation facilities, flexibility in school calendars, and remedies /scholarship policies for affected schoolchildren",Number of initiatives introduced to promote access to education,Initiatives,5,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Development of tracking tools and intention surveys to track movement of people and prioritize assistance,Number of assessments published,Assessments,5,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Impact and needs assessment of partially and completely destroyed shelters structures,Number of locations assessed,Areas,15,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",NFI needs assessment of victims and affected populations in host communities and families to identify needs and vulnerability of the affected population,Number of victims/affected populations and host families/communities assessed,Households,300000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocacy & Mobilization: Sensitization, Information sharing, Media relations and campaigns",Number of persons reached,People,2500000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Capacity building trainings for Shelter/NFI Sector members as well as in Displacement Management,Number of persons trained,People,50,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Pre-positioning of Shelter/NFI contingency stocks in regions in the North East,Number of Shelter NFI stocks prepositioned in the North East and or environs,Shelters,200000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Cash transfer intervention for extremely vulnerable families,Number of populations receiving cash transfer,People,6000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Construction/rehabilitation of housing for vulnerable people in conflict affected areas whose homes were damaged with priority to women heads of households,Number of houses restored/rebuilt,Houses,15000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of shelter kits to families affected by insurgency and host communities,Number of tents distributed,Tents,200000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Increase IDP data collection in North East,Number of IDPs profiled and registered,Profiling,1000000,0,,0,,,,,,,,0,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provision of NFI items including mattresses, sleeping mats, blankets, beddings, utensils, kitchen and cooking sets, clothes, soaps, sanitary items and baby supplies, jerry can sand buckets etc",Number of households receiving NFI,Households,500000,,,,,,,,,,,,
Nigeria,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen Camp coordination,Number of SEMAs/NEMA official trained,Government Officials,30,0,0,0,,,,,0,,,0,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess capacities to respond to epidemics,Number of supported assessments,Assessments,100,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the coverage of epidemic response campaigns,Number of outbreaks and rumours investigated,Cases,100,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct an evaluation of the health sector's response capacities,"Number of assessment reports of the health sector's response capacity taking into account age, gender and disability.",Assessments,1,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Establish disease surveillance (Measles, CSM, cholera, Lassa fever, Yellow fever, Polio).",Number of surveillance officers trained on disease surveillance and outbreak response,Health Workers,250,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Establish disease surveillance (Measles, CSM, cholera, Lassa fever, Yellow fever, Polio).",Number of timely and complete weekly and monthly surveillance reports,Reports,52,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping and risk analysis in the health sector,"Number of reports based on risk mapping and analysis in the health sector taking into account age, gender and disability",Reports,1,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Monitor and evaluate the response to epidemics,Number of response objectives that have been achieved,Objectives,6,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Screening of under-nutrition in settings where capacity to respond to at least the SAM is available.,"Number of health facilities supported with acquisition of screening tools (MUAC, scale, height gauge, monitoring and evaluation tools).",Health Facilities,500,0,,0,,,,,,,,0,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Screening of under-nutrition in settings where capacity to respond to at least the SAM is available.,Number of staff trained on the screening of the SAM and MAM.,Staff,2000,0,,0,,,,,,,,0,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen early warning systems for existing potential epidemics or diseases in health facilities and at community level,Number of cases detected,Cases,100,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen existing sentinel sites for monitoring potential epidemic diseases,Number of cases identified,Cases,2,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Access to insecticide-treated mosquito nets.,Number of (mosquito nets) bed-nets procured.,Bednets,50000,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Access to safe delivery,Number of delivery kits distributed.,Delivery Kits,10000,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Access to safe delivery,Number of staff trained in emergency obstetric care.,Staff,1000,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Emergency primary health care– combining community mobilization and health services components,Community mobilization integrated into health components.,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Encourage preparedness through transfer of knowledge and know-how to local actors including on the MISP,Preparedness knowledge is transferred.,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Integrated outreach services in hard- to-reach communities and security compromised areas including on EPI and polio,Outreach is made to remote or hard-to-access areas,Activities,0,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Manage a comprehensive MNCH, Nutrition and HIV systems strengthening programme incl. Training health workers, supplies, etc. Operating 226 wards in PHC/ wards",Nutrition and HIV systems strengthened.,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen data and information gathering for enhanced humanitarian planning and response,Number of data sharing tools available to Health actors,Tools,10,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support designated health facility for continuing medical screening and treatment including: polio supplementary immunization and routine immunization support for TB DOT services,Polio immunization and TB support is given to health facilities.,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Supporting a functioning disease surveillance system,Percentage of projects which support communication for sentinel surveillance system.,Percentage,50,,,,,,,,,,,,
Nigeria,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",To build capacities for better management of current responses,Response capacities strengthened.,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Counselling//Psychotherapy for children and adults,Percentage of affected persons with access to psychosocial support,Percentage,50,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure effective and efficient coordination of humanitarian health activities,Number of Info Products (i.e. 3W) disseminated to the public/ Number of updated stakeholders’ contact lists available per month,3Ws,40,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Free access to emergency health care, including sexual and reproductive health",Number of affected persons supported with PHC/Number of health facilities supported with provision of drugs and supplies,People,10000,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Free access to emergency health care, including sexual and reproductive health",Number of IDPs supported with PHC/Number of health facilities supported with provision of drugs and supplies,People,100000,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Medical management of sexual violence,Number of SGBV survivors referred to Health facilities; Number of SGBV specialized centers available,Survivors,5000,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide guidance and train health workers at community level, primary healthcare facilities and in hospitals",Number of health workers trained/Number of healthcare facilities supported,Health Workers,2000,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide guidance and train health workers at community level, primary healthcare facilities and in hospitals",Number of health workers trained/Number of healthcare facilities supported,Health Workers,1000,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide maternal health supplies for safe delivery and timely interventions during obstetric emergencies among vulnerable groups,Improvement in services provided for obstetric emergencies,Yes/No,0,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide medical kits,Percentage of affected targeted populations with access to medical kits,Percentage,20,,,,,,,,,,,,
Nigeria,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provision of sexual and reproductive health services that include clean and safe delivery, management of survivors of sexual violence, and HIV prevention and treatment of sexually transmitted diseases (STIs) Including RH kits, dignity kits, training of frontline workers. Through the SMOH provide psycho social training for health workers in Maiduguri",Percentage of implementing Health actors with sexual and reproductive health services included in programming,Percentage,50,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct nutrition surveys,Number of states covered by nutritional survey,Surveys,37,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination of nutrition actors - mapping - information sharing,"Number of information reports, mapping available.",Reports,6,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluation and monitoring involving the most vulnerable people,Number of states having received a support with effective mechanisms for representatives and participatory inputs from all users at all phases,Mechanisms,6,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluation of real-time responses (TEN),Number of states covered by a real-time evaluation of the response.,Evaluations,12,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening health systems: diagnostic & priority action plan,Number of health facility with adequate and qualified staffing and information system.,Health Facilities,650,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Evidence based advocacy to support national investment on nutrition activities,number of advocacy activities,Advocacy actions,5,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provision of guidance and training of health staff and community health workers,Number of health staff and community health worker trained,Health Workers,1200,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provision of guidance and training of health staff and community health workers in IMAM / CMAM,Number of health staff and community health worker trained in IMAM/CMAM,Health Workers,1200,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Stock prepositioning (nutrition and health essential supplies) and hub management,Number nutrition supplies and essential drugs prepositioned,Supplies,400000,,,,,,,,,,,,
Nigeria,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen health facility & community systems including data and information management,Number of health facility with adequate and qualified staffing and information system,Health Facilities,650,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Community based management of severe acute malnutrition among children,Community based centers established,Centers,29,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Integrated management of severe acute malnutrition,Number Children 6-59 months (Number boys & girls) affected by severe acute malnutrition admitted for treatment.,Children,345927,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Micronutrient supplementation and deworming,Children under 5 numbers receiving adequate micronutrient supplementation,Children,29160000,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Micronutrient supplementation and deworming,Number of children under 5 years dewormed,Children,14400000,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Performance and quality monitoring of nutrition programmes,number of supported health centre providing monthly monitoring of IMAM (admissions and performance indicators ),Health Centres,650,,,,,,,,,,,,
Nigeria,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide essential nutrition and health supply to affected population,Number of supported health centres with adequate stocks of RUTF (no short-cut reported),Health Centres,650,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Development of tracking tools and intention surveys to track movement of people (IDPs and cross-border) and prioritize assistance,Cross-border monitoring system established,Systems,1,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Development of tracking tools and intention surveys to track movement of people (IDPs and cross-border) and prioritize assistance,IDP tracking system established.,Systems,1,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Development of tracking tools and intention surveys to track movement of people (IDPs and cross-border) and prioritize assistance,Number of reports/intention surveys published,Reports,6,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish the Monitoring and Response Mechanisms to strengthen children in armed conflict monitoring,MRM established,Mechanisms,3,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Establishment monitoring system, and database and present regular updates on child rights violations including attacks on schools and health facilities",Child protection monitoring system established.,Systems,3,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Implementation of systems / monitoring mechanisms of protection, GBV and PE , including monitoring of human rights violations , MRM and MARA , etc.",Monthly rights violations report/trend analysis available for programmatic use.,Reports,6,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Implementation of systems / monitoring mechanisms of protection, GBV and PE , including monitoring of human rights violations , MRM and MARA , etc.",Number of systems / monitoring mechanisms set up by community,Systems,1,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Implementation of systems / monitoring mechanisms of protection, SGBV and PE , including monitoring of human rights violations , MRM and MARA , inter alia.","Establishment of monitoring mechanisms to track SRBG, inter alia.",Mechanisms,1,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In partnership with Communities and Local Authorities, support the establishment of safety net for vulnerable families",Number of communities where coping and safety net mechanisms identified,Communities,100,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Mapping and analysing vulnerability as it relates to protection of armed conflict prone communities focusing on boys, girls, women, in order to improve response",Number of communities assessed,Communities,30,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Monitoring internal and cross-border movements of people including the return movements of IDPs and refugees, in partnership with the government",Establishment of a displacement tracking system. Publication of regular updates on displacement,Systems,1,,,,,,,,,,,,
