Country,Cluster,Objective,Activity,Indicator,Unit,Niger_Target,Agadez_Target,Diffa_Target,Dosso_Target,Maradi_Target,Niamey_Target,Tahoua_Target,Tillabery_Target,Zinder_Target
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Hold evaluations and integrated impact assessments of the nutrition response capacities,Number of NUT/health joint analysis of the impacts and reponse capacities,Analysis,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Provide support to hold nutrition surveys,Number of nutrition surveys held,Surveys,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strengthen the inter and intra sectoral coordination to have a consistency in the assessments, information sharing, and defining the nutrition reponse, including specific and sensitive activities on nutrition",Percentage of planned coordination meetings and number of outlined action plans established,Percentage,,90,90,90,90,90,90,90,90
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strengthen the routine data analysis and assessment of the extent, causes and disparities of malnutrition prevalence to help with the programming based on the evidence of both the humanitarian planification and the development in the long-term",Availability of updated data on the nutritional statut and programmes coverage disaggregated by gender; age group and georgraphic areas,Yes/No,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strengthen the surveillance and the joint warning system (outbreaks, malnutrition) by integrating PCIMA programmes (admissions and performance)",Existence of an integrated food security and nutritional national system of analysis,Yes/No,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strengthening of the surveillance and joint warning system (outbreaks, malnutrition), including monitoring data","Number of health facilities providing PCIMA data (admissions and performance, disaggregated by gender)",Health Facilities,,4,3,5,7,5,8,6,6
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strengthening of the surveillance and joint warning system (outbreaks, malnutrition), including monitoring data",Number of surveillance systems in place,Systems,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the organisation of coverage surveys,Number of coverage surveys held,Surveys,,4,3,4,7,5,7,6,7
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conducting micronutrient supplementation activities on children under 5,Number of 6-23 month-old children (girls and boys) having received micronutrient supplements,Children,,2825,6198,3761,10689,,3907,10459,20591
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conducting micronutrient supplementation activities on children under 5,Number of children under 5 receiving a supplementation in vitamin A,Children,,105255,162646,587069,1012957,379799,893776,748527,1002825
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implement a number of promotional and consulting activities on nutrition, advices on infants and young child feeding and maternal feeding","Number of people (number of men, women, girls, boys) benefiting from ANJE activities and nutrition advice",People,,,,,572380,,559975,,595542
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Networking and strengthening of regional coordination mechanisms and support systems,"Availability of information disaggregated by age and gender on the nutritional status pre and post conflicts, the access and the coverage of nutritional services",Yes/No,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Operationalisation of all SUN (civil society, donors, government, private sector and the United Nations) and REACH platforms",Progress made on 4 SUN process output indicators and level of achievement of the REACH plan of action,Yes/No,,1,1,1,1,1,1,1,1
Niger,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support deworming activities on 1-5 year-old children,Number of 1-5 year-old children having received a deworming,Children,,96530,146889,536302,924684,360516,817774,682793,894741
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of a ration to accompanying mother at CRENIs,Number of mothers having benefited from a ration in CRENIs,Parents,,1570,1445,6058,16575,1781,9070,9442,9088
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a psycho-social support to children affected by severe acute malnutrition and those accompanying them.,Number of children (girls and boys) who received a psycho-social care in CRENI/CRENAS,Children,,1570,0,6058,11848,1781,9070,4545,8063
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a WASH in Nut activities package in nutritional rehabilitation centers,Number and percentage of severely malnourished mothers-children couples who received a minimum WASH package at home,People,,,9629,40384,,11871,,62948,
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a WASH in Nut activities package in nutritional rehabilitation centers,"Number of CREN with a secured access to drinking water, hygiene and sanitation",Health Centres,,0,72,126,0,53,0,181,0
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision of an assistance through nutritional supplementation to prevent the malnutrition and mortality 6-23 month-old children and lactating mothers (mothers of children under 6) during the 2015 hunger gap (NSPAMM),Number and percentage of 6-23 month-old children (girls and boys) assisted during the hunger gap,Children,,4210,5128,17597,29379,8867,28742,23510,30567
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision of an assistance through nutritional supplementation to prevent the malnutrition and mortality 6-23 month-old children and lactating mothers (mothers of children under 6) during the 2015 hunger gap (NSPAMM),Number and percentage of lactating women (mother of children under 6 months),Pregnant Women,,1086,5100,17501,29221,4410,28587,11692,30403
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provision of CRENs and hospotails on therapeutic inputs (ATPE medicines, MILDA, coverage, small medical equipment etc.)","Number of CREN with an adequate stock of nutrition inputs, medicines and consumables",Health Centres,,69,59,126,136,49,142,201,144
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provision of CRENs and hospotails on therapeutic inputs (ATPE medicines, MILDA, coverage, small medical equipment etc.)","Number of health districts providing a stock nutrition management report (SAM, MAM, FEFA)",Districts,,4,3,5,7,5,8,6,6
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provision of CRENs and hospotails on therapeutic inputs (ATPE medicines, MILDA, coverage, small medical equipment etc.)",Number of people trained in the management of nutrition inputs stocks,People,,135,121,255,275,101,287,206,287
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support a quality care of acute malnutrition,Number of formative supervisions organised per year,Visits,,4,4,4,4,4,4,4,4
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the active screening of acute malnutrition at community levels and health facilities,Number of 0-50 month-old children (girls and boys_ screened in the community and in health centers,Children,,97615,118875,407924,681056,205562,666296,545006,708615
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the active screening of acute malnutrition at community levels and health facilities,Percentage of referred and screened cases at the CSI/CS,Percentage,,80,80,80,80,80,80,80,80
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the moderate acute malnutrition treatment, with or without medical complications, of under 5 children and FEFAs, including those living in camps and areas hosting refugees and returnees",Number and percentage of FEFA admitted and treated in CRENAMs for MAM,Women,,3508,10790,37026,61817,9329,60477,24734,64319
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the moderate acute malnutrition treatment, with or without medical complications, of under 5 children and FEFAs, including those living in camps and areas hosting refugees and returnees",Number of 6-59 month-old children (girls and boys) admitted for MAM in CRENAMs,Schools,,15490,47140,75514,132395,36763,130661,90631,143406
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the screening and referencing of HIV positive children,Number of children with SAN screened for HIV (around 10% of CRENI children),Children,,157,144,606,1658,178,907,944,909
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the treatment of severe acute malnutrition, with or without medical complications, of children under 5, including those living in camps or areas hosting refugees and returnees",Number of 0-59 month-old children (girls and boys) admitted for SAM in CRENI/AS,Children,,10469,9630,40384,110503,11871,60466,62948,60587
Niger,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the treatment of severe acute malnutrition, with or without medical complications, of children under 5, including those living in camps or areas hosting refugees and returnees",Percentage of 0-59 month-old children (girls and boys): - Cured/successfully treated - Deceased - Left the programme -,Percentage,,90,90,90,90,90,90,90,90
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation and community relays trainings on SGBV,Number of trained and operational community relays to identify cases of SGBV,Numbers,,,116,,,,,,
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation of trainings on the thematic of psychosocial support benefiting health workers,,,,,,,,,,,
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise commuity-outreach sessions,Number of outreach sessions conducted with vulnerable communities on the psychosocial risks of malnutrition on the child’s development,Sensitisations,,,20,,35,,,35,32
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise commuity-outreach sessions,Percentage of people reached who integrate the transmitted message during awareness,Percentage,,,60,,60,,,60,60
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening of SGBV focal points’ capacities on prevention tools,Number of SGBV focal points which capacities have been strengthened by training sessions (pre and post assessments),Numbers,,,191,,,,,,
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training and supervision of RECOP,Number of ACCIDENT DE PROTECTION reported during the project by the RECOP,Cases,,,620,,,,,,
Niger,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training and supervision of RECOP,Number of RECOP having received a training on the protection issues,People,,,898,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Assist malnourish children and families with important protection problems,Number of children who received a support to respond to a protection problem and continuing their treatment until cured,Children,,,75,,75,,,75,75
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Building and equipping a pyscho-social support space inside CRENIs,Number of spaces built and equipped,Spaces,,,10,,10,,,6,6
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Building and equipping psycho-social support hangars in CSIs,Number of hangars built and/or equipped,Houses,,,8,,8,,,8,8
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Community awareness (GBV, gender, schooling, HIV-AIDS, hygiene, psycho-social support etc.)",Number of awareness sessions organised,Sensitisations,,,4100,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Community awareness (GBV, gender, schooling, HIV-AIDS, hygiene, psycho-social support etc.)",Percentage of targeted population that are aware of psycho-social topics,Percentage,,,85,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of EAEs,Number of children (girls and boys) who took part in EAEs activities,Children,,,48000,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of EAEs,"Number of EAEs implemented, equipped and operational",Spaces,,,70,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Integrated management of migrants in reception and transit centers,Number of migrants (disaggregated by gender and age) hosted and having received a hygiene kit,Numbers,,10000,,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Integrated management of migrants in reception and transit centers,Number of migrants who received a psycho-social support in reception and transit centers,Numbers,,4500,,,,,,,
