Country,Cluster,Objective,Activity,Indicator,Unit,Mali_Target,Bamako_Target,Gao_Target,Kayes_Target,Kidal_Target,Koulikoro_Target,Mopti_Target,Segou_Target,Sikasso_Target,Tombouctou_Target
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Prepare/update the emergency planning and preparedness at schools,Number of Teachers’ Academies (TA) with a contingency plan,Education Departments,,,1,2,1,1,2,2,,1
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Set-up a national education cell in emergency situations and regional cells within the MEN,Number of operational education cells in an emergency situation,Cells,,1,1,,1,,1,,,1
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train teachers/ other educational personnel on psychosocial support and life-skills,Number of educational personnel (women/men) trained on life-skills,Teachers,,,1205,,86,,643,,,1066
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train teachers/ other educational personnel on psychosocial support and life-skills,Number of educational personnel (women/men) trained on psychosocial support,Teachers,,,1205,,86,,643,,,1066
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute early childhood development kits,Number of children (girls/boys) receiving kits,Children,,,4017,,286,,2144,,,3553
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute educational kits to teachers,Number of teachers (women and men) receiving educational materials,Teachers,,,1808,,129,,965,,,1598
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute learning kits,Number of students (girls and boys) receiving learning materials,Students,,,106404,,7566,,56766,,,94084
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute school furnitures in learning spaces,Number of classrooms equipped with enough and adapted furniture,Classrooms,,,214,,15,,114,,,189
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement alternative educational activities to support the integration of out-of-school children,Number of children having access to alternative educational activities (girls/boys),Children,,,12054,,857,,6431,,,10658
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement alternative educational activities to support the integration of out-of-school children,Number of teachers recruited and trained (women and men),Teachers,,,402,,29,,214,,,355
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"In partnership with the community and local authorities, establish or rehabilitate protecting, sure and inclusive learning spaces for children and young children affected by emergency situations or are very vulnerable",Number of classrooms rehabilitated,Classrooms,,,174,,12,,93,,,153
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"In partnership with the community and local authorities, establish or rehabilitate protecting, sure and inclusive learning spaces for children and young children affected by emergency situations or are very vulnerable",Number of temporary learning spaces set,Learning Spaces,,,40,,3,,21,,,36
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Rehabilitate/construct administrative school buildings,Number of buildings rehabilitated or constructed,Buildings,,,1,,2,,1,,,1
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Setting-up of school canteens,"Average number of school days, per month in which school meals or snacks are provided (during the planning phase, education clusters need to target 80% of the total number of school days during the response)",Days,,,20,,20,,20,,,20
Mali,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Setting-up of school canteens,Number of school meals distributed,Meals,,,9161019,,651371,,4887372,,,8100238
Mali,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the needs to rehabilite the shelters of returned and non-displaced vulnerable people living in return areas,Number of assessed regions to determine the need for shelter / NFI,Regions,,,1,,1,,1,,,1
Mali,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Evaluation des besoins en abris, et en non vivre des ménages vivant dans les zones à fort potentiel d’inondation.",# de sites inondables évalués,Sites,,1,1,1,1,,,1,1,1
Mali,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Joint visit with the Ministry for Solidarity (MSAHRN) of relocation areas of populations living in potentially flood-risk areas.,Number of relocation areas visited to be prepared in case of floods,Areas,,1,,1,,1,1,1,,
Mali,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Distribution of shelter kits to vulnerable populations living in return areas,Number of households receiving shelter kits to rehabilitate their shelters,Households,,,1150,,25,,375,,,1450
Mali,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Pre-positioning of contingency shelter stocks and NFI in regions with flood-prone areas,Number of regions with a stock of contingency shelters and NFI,Regions,,1,1,1,,1,1,1,1,
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Builfing/rehabilitation of vulnerable people's homes living in return areas and whose houses were degraded, priority given to women head of households",Number of houses rehabilitated or built for vulnerable population,Houses,,,805,,18,,245,,,1083
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Continue monetary support to IDPs for the care of the rental fee,Number of families assisted in cash for rental house,Households,,300,,,,,100,100,,
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution de tentes pour les familles affectées par les inondations.,Nombre de famille recevant une tente familiale.,Tents,,450,50,650,,250,200,600,400,
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of tents to nomadic and other vulnerable populations with destroyed houses and living in areas of return,Number of tents distributed,Tents,,,450,,20,,30,,,500
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution unique des biens non alimentaires pour les ménages victimes des inondations,# de ménages vulnérable victime des inondations recevant les NFI,Households,,500,125,1500,,1500,375,2375,1125,
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Single distribution of NFI to vulnerable populations living in return areas,# de ménages ayant reçu l’assistant en NFI,Households,,,4223,,545,,10230,,,5112
Mali,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Timely monetary support in form of house rental to vulnerable households, victims of floods,",# de ménages recevant l’appui monétaire,Households,,250,150,500,,500,,1000,100,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint analysis on risks and vulnerabilities related to measles outbreaks, malaria, cholera and Ebola virus",Number of joint assessments held at national level and disseminated,Numbers,1,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint analysis on risks and vulnerabilities related to measles outbreaks, malaria, cholera and Ebola virus",Number of joint surveys held at national level,Numbers,1,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint multisectoral analyses on vulnerabilities and risks by taking into account the age, gender and disabilities",Number of multi-sectoral analyses reports produced,Reports,3,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint multisectoral analyses on vulnerabilities and risks by taking into account the age, gender and disabilities",Number of multi-sectoral meetings,Meetings,12,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Elaborate and implement a contingency plan to fight against outbreaks and disasters, including the capacity for a fast WASH/Health reponse (HR, intrants, seasonal reinforcement)",Number of multisectoral contingency plan regularly updated,Numbers,2,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Ensure the assessment on the functioning of health facilities are up-to-date should IDPs return,Number of assessed health centres,Numbers,187,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Ensure the assessment on the functioning of health facilities are up-to-date should IDPs return,Number of districts with up-to-date data,Numbers,13,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identifier et cartographier des zones, populations, pratiques et périodes à haut risque pour le choléra, la rougeole de plaudisme, et de Maladie à Virus Ebola","# cercles ou une analyse conjointe Wash/Santé permet d’identifier les zones et les populations les plus à risque pour le choléra, la rougeole, de paludisme, et de Maladie à Virus Ebola",Numbers,49,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping and risk analysis in the health sector,Number of mapping done,Numbers,63,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping and risk analysis in the health sector,"Number of meeting on mapping and risk assessments in the health sector taking into account the age, gender and disabilities",Numbers,12,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of a national/regional free care,Number of health districts affected,Districts,13,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Make functional voluntary screening advisory sites and HIV/AIDS’s PTME sites,Number of functional PTME sites,Numbers,8,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the management in the field of psychosocial,Number of people with psychosocial problems taken care of,People,100,,,,,,,,,
Mali,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Vaccinate children against routine EPI, including Hib and measles",Percentage of children completely vaccinated (including Hib and measles),Percentage,90,,,,,,,,,
Mali,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Accès à l'accouchement propre,# de structures sanitaires ou des accouchements propres sont réalisés (CSCom et CSREf),Health Centres,204,,,,,,,,,
Mali,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Continue humanitarian missions,Number of districts receiving humanitarian missions,Districts,13,,,,,,,,,
Mali,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure a free access to primary health care,"Number of health facilities provided with medicines, kits and inputs",Health Centres,100,,,,,,,,,
Mali,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure the management of non-communicable chronic diseases (diabetes, HTA, cardiovascular pathologies)",Number of consultations,Consultations,150000,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Provide technical and financial support to the executive teams at health districts to ensure an appropriate analysis, transmission and regular compilation of data on malnutrition screening and the nutritional routine management",Number of health districts (HD) that have a completeness rate of weekly data on admissions > 95%,Districts,,6,4,8,4,10,8,8,10,5
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Provide technical and financial support to the executive teams at health districts to ensure an appropriate analysis, transmission and regular compilation of data on malnutrition screening and the nutritional routine management",Number of health districts supported by an NGO partner,Districts,,6,4,8,2,10,8,8,10,5
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the undertaking of a national SMART nutritional survey,Number of health districts (HD) covered by the survey,Districts,,6,4,8,4,10,8,8,10,5
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the undertaking of coverage surveys,Number of health districts covered by coverage surveys,Districts,7,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Technically and financially support sectoral coordination state entities at regional level for a better information exchange and coordination,Number of nutrition coordination meetings held at regional level (regional sub clusters meetings),Meetings,,3,3,3,0,3,3,3,3,3
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Technically and financially support the functioning of sectoral coordination state entities at central level for a better information exchange and coordination,Number of nutrition coordination meetings held at regional level (Nutrition/cluster nutrition thematic group meetings),Meetings,12,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Technically and financially support the functioning of sectoral coordination state entities at central level for a better information exchange and coordination,Number of technical nutrition sub-group meetings (4 operational),Meetings,48,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Pre-position nutritional contingency stocks in the regions,Number of region having a nutritional contingency stock,Areas,8,,,,0,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Soutenir l'élaboration d'un plan de contingence Nutritionnelle,,,,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Soutenir l'élaboration d'un plan de contingence Nutritionnelle,Nombre de plans de contingence élaboré,Contingency Plans,1,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support activities promoting breastfeeding activities,Number of health agents trained on IYCF,Service Providers,630,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support activities promoting breastfeeding activities,Number of IYCF support groups created,Groups,42,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the conduct of vitamin A supplementation campaigns,Number of 6-59 month-old children who benefited from 2 rounds of vitamin A supplementation (>90%),Children,3150000,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Undertake food supplementation activities (like Blanket Feeding) for 6-23 month-old children and FEFAs,Number of 6-23 month-old children admitted into the Blanket Supplementary Feeding Programme (BSFP),Children,89600,,,,,,,,,
Mali,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Undertake food supplementation activities (like Blanket Feeding) for 6-23 month-old children and FEFAs,Number of pregnant and lactating women admitted into the Blanket Supplementary Feeding Programme (BSFP),Women,44100,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Care for malnourished FEFA cases,Number of malnourished FEFAs cared for,Women,60500,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Management of 6-59 month-old children with MAM,Number of 6-59 month-old children with MAM cared for at treatment units,Children,374000,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Management of 6-59 month-old children with MAM,Number of 6-59 month-old children with MAM cared for at treatment units and cured,Children,280500,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Management of 6-59 month-old children with SAM,Number of 6-59 month-old children with SAM admitted un treatment units (URENI/URENAS),Children,136000,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Management of 6-59 month-old children with SAM,Number of children cared for in treatment units (URENI/URENAS) and cured,Children,102000,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise training supervisions on the CMAM,Number of supervision trainings on the CMAM at the CSCOM level,Visits,1307,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise training supervisions on the CMAM,Number of training supervisions on CMAM at districts level,Visits,122,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Screen 6-59 month-old children and FEFAs,Number of 6-69 month-old children screened for malnutrition,Children,1750000,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Screen 6-59 month-old children and FEFAs,Number of FEFAs screened for malnutrition,Women,440000,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Supply malnutrition treatment units (UREN) with nutritional inputs, medicines, anthropometric materials and equipment",Number of health districts (HD) having recorded an out-of-stock,Districts,0,,,,,,,,,
Mali,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Train health agents on inputs and data management,Number of helth agents trained on inputs and data management,Agents,177,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Collect and analyse data on rights violations on incidents and cases (including VBG, PE, MARA, MRM) in harmonised monitoring systems",Number of products analysis reports,Reports,30,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Collect and analyse data on rights violations on incidents and cases (including VBG, PE, MARA, MRM) in harmonised monitoring systems",Percentage of reported cases that have been documented,Percentage,70,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Collect and analyse data protection risks at community level through the harmonised monitoring system (amongst others the Rapid Protection Assessment – RPA),Number of products analysis reports,Reports,30,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Collect and analyse data protection risks at community level through the harmonised monitoring system (amongst others the Rapid Protection Assessment – RPA),Percentage of targeted communities/villages that have been monitored,Percentage,70,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In partnership with the government, monitor domestic and between borders movements of populations disaggregated data by gender and age) ; including return movements of IDPs and refugees","Number of identified/registered displaced, returned and repatriated people",People,90000,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In partnership with the government, monitor domestic and between borders movements of populations disaggregated data by gender and age) ; including return movements of IDPs and refugees",Number of products analysis reports,Reports,24,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Edcuation on risks (ER) posed by mines and unexploded remnants of war (URW),Number of beneficiaries from direct sessions on ER (disaggregated by gender and age),People,125000,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Edcuation on risks (ER) posed by mines and unexploded remnants of war (URW),"Number of beneficiaries from indirect sessions on ER (through radio messages, television etc.)",People,200000,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Prepare the return of displaced people and refugees through the strengthening of community building activities,Number of people reached/trained on conflicts management,People,100000,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support community mechanisms for conflict resolution related to the access to goods and natural resources (meadows, pastures, water points)",Number of community mechanisms for conflict resolution supported and functional,Mechanisms,30,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the socio-economic rehabilitation of affected people through activities fostering resilience,Number of beneficiaries supported and monitored (disaggregated by gender and age group),People,15000,,,,,,,,,
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train/increase awareness of community structures on protection princicples (including VBG, PE) and the identification of vulnerables",Number of protection structures that are functional,Structures,,25,25,,,,25,,,25
Mali,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train/increase awareness of community structures on protection princicples (including VBG, PE) and the identification of vulnerables",Number of protection structures trained,Structures,200,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the integration of protection principles in other humanitarian action sectors (protection mainstreaming),Number of sectors trained/educated on the integration of protection principles,Clusters,7,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Facilitate the access to basic social services, including strengthening the referencing systems of victims or people in need of an individual assistance",,,,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Facilitate the access to justice to victims of human rights violations,"Percentage of victims of violations identified and registered as people in need of legal assistance, and who were given support to access justice",Percentage,50,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Facilitate the acquisition of civil status or identity documents,Percentage of identified people who received a civil status or identity document,Percentage,75,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Holistic asssitance to victims of mines and explosive remnants of war (ERW),Percentage of surviving victims from the ERW identified and assisted (disaggregated by gender and age),Percentage,80,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement an information sharing and referencing system to facilitate the access to justice to victims of human rights violations,A systematic information sharing and referencing system of human rights violations victims is in place and functional,Yes/No,1,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implement or strengthen referencing community mechanisms for people in need of a protection (including GBV, ESNA, EFGA etc.)",Number oof circles wth a functional community referencing system,Numbers,15,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of advocacy actions to ensure the respect of affected people’s rights and the protection of the most vulnerable,Number of advocacy actions organised,Advocacy actions,50,,,,,,,,,
