Country,Cluster,Objective,Activity,Indicator,Unit,Burkina Faso_Target,Boucle du Mouhoun_Target,Cascades_Target,Centre_Target,Centre Est_Target,Centre Nord_Target,Centre Ouest_Target,Centre Sud_Target,Est_Target,Hauts Bassins_Target,Nord_Target,Plateau Central_Target,Sahel_Target,Sud Ouest_Target
Burkina Faso,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support the functional surveillance system of diseases that have the potential to cause epidemics in health facilities, checkpoints and communities",Number of reports with complete and up-to-date central data which are publically shared,Units,52,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Disseminate awareness messages on the use of insecticide-treated bednets,Number of health structures showing IEC tools particularly destined to children,Units,79,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Disseminate awareness messages on the use of insecticide-treated bednets,Number of health structures showing IEC tools particularly destined to women,Units,79,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise IEC/C4D sessions taking into account gender and age,"Number of IEC/C4D campaigns on the radio, taking into account the gender and age",Units,,25,25,25,25,,,25,25,25,,,25,25
Burkina Faso,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the inter and intra community dialogue to support the social cohesion and limit the outbreak,Number of IEC/C4D campaigns in the radio,Units,50,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train health personnel on the management of epidemic-prone diseases at local level (border crossings and sentinel sites) and according to the contingency plan,Number of health personnel trained on the management of epidemic-prone diseases,Units,200,,,,,,,,,,,,,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure mental health counselling in affected areas,Number of free mental health counselling,Units,,,,96,,,,,,,,,96,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure outbreaks response cases are cared for,Number of health facilities provided with medicines and inputs,Units,2000,,,,,,,,,,,,,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the effective and efficient coordination of humanitarian relief activities,Number of assessment meeting conducted,Units,,,,2,,,,,,,,,2,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the effective and efficient coordination of humanitarian relief activities,Number of partners’ contact lists up-to-date and available every month,Units,,,,1,,,,,,,,,1,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the investigation of outbreak alerts,Proportion of outbreaks investigated with 72 hours,Percentage,80,,,,,,,,,,,,,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve the access to emergency obstetric and neonatal care (EONC) in areas hosting refugees,Proportion of health districts with a personnel trained on EONC in areas hosting refugees,Percentage,,,,100,,,,,,,,,100,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve the access to primary health care,Number of consultations per child per year,Consultations,3,,,,,,,,,,,,,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve the access to primary health care,Number of health agents trained,Units,,,,,,,,,,,,,178,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve the access to primary health care,Number of health facilities provided with medicines and primary health care inputs,Units,,,,,,,,,,,,,86,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Improve the access to secondary emergency health care, including surgery",Number of health facilities provided with medicines and secondary healthcare inputs,Units,,,,,,,,,,,,,80,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Improve the access to secondary emergency health care, including surgery",Number of health facilities supported and with an access to sterilisation of medical equipment,Units,,,,,,,,,,,,,80,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve the anti-measles vaccination (AMV) of children,Proportion of children who received a free AMV dosage,Percentage,,,,,,,,,,,,,100,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Increase the access to women for a clean delivery,Number of delivery kits distributed,Units,,,,,,,,,,,,,2000,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Increase the access to women for a clean delivery,Number of staff trained to emergency obstetric care,Units,,,,,,,,,,,,,40,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Increase the access to women for a clean delivery,Proportion of births assisted by skilled health personnel,Percentage,,,,,,,,,,,,,75,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Medical care of sexual violence victims in areas hosting refugees,Proportion of reported rape cases within refugees and host populations that received a medical care,Percentage,,,,100,,,,,,,,,100,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen after-school immunisation activities of routine PEV antigens. Proportion of rape cases with refugees and host populations who received a medical care,Proportion of facilities in areas with refugees supported with the provision of vaccines and inputs,Percentage,,,,100,,,,,,,,,100,
Burkina Faso,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthen the care of severe acute malnutrition (SAM)’s capacities in hospitals in 16 districts (Gorom-Gorom, Dori, Djibo, Séba, Barsalogho, Boulsa, Kaya, Signoghin, Boulmiougou, Réo, Sapouy, Garango, Koupéla, Bittou, Diapaga, Dô)",Proportion of priority districts’ referencing structures with trained staff on the care of SAM complications,Percentage,,,,40,43,75,33,,17,14,,,100,
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct a national nutrition survey with a regional representation, on children under 5",A nutrition survey on children under 5 conducted,Surveys,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deworm 12-59 month-old children twice a year,Percentage of 12-59 month-old children dewormed,Percentage,95,,,,,,,,,,,,,
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Distribution of supplementary food to 6-23 month-old children and pregnant/lactating women admitted into the BSFP,Number of 6-23 month-old children and pregnant/lactating women admitted into the BSFP (targeted complementary feeding programmes),Children,,,,,,,,,27909,,24781,,21731,
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of an infant and small-child feeding service programme,Number of 0-23 month-old children with an access to the integrated infant and small-child feeding service programme package,Children,300000,,,,,,,,,,,,,
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Periodic distribution of micronutrient powders to 6-23 month-old children in vulnerable areas,Number of 23 month-old children receiving micronutrient powders,Children,,,12500,,,,,,,,12500,,,
Burkina Faso,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Supplement 6-59 month-old children on vitamine A, twice a year",Percentage of 6-59 month-old children supplemented on vitamin A (twice a year),Percentage,95,,,,,,,,,,,,,
Burkina Faso,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Detect and treat children under 5 suffering from severe acute malnutrition,Number of 6-59 month-old children with severe acute malnutrition accepted into therapeutic nutrition programmes,Children,149000,,,,,,,,,,,,,
Burkina Faso,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Identify and treat children under 5 with MAM,Number of 6-59 month-old children with MAM admitted into supplementary nutrition programmes,Children,350000,,,,,,,,,,,,,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Establish systems/monitoring mechanisms to protect children, this includes the monitoring of violations of human rights",Number of statistical yearbook prepared,Documents,2,,,,,,,,,,,,,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Establish systems/monitoring mechanisms to protect children, this includes the monitoring of violations of human rights",Number of studies on gender-based violences conducted,Studies,2,,,,,,,,,,,,,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Mapping and analysis of the vulnerability of communities with spcecific needs (disabilities, gender-based violence, family separation, child labour, early marriage, recruitment of children, landmines and explosive remnants of war)",Number of communities where vulnerable people have been identified (by gender and age),Communities,,,,1,1,1,,,1,1,1,1,1,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping and vulnerability analysis of communities living in affected areas,Number of communities where vulnerable people have been identified (by gender and age),Communities,,,,1,1,1,,,1,1,1,1,1,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Setting up of systems/monitoring of protection, VGB and PE mechanisms, including the monitoring of human rights violations",Number of statistical yearbooks produced,Databases,2,,,,,,,,,,,,,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Setting up of systems/monitoring of protection, VGB and PE mechanisms, including the monitoring of human rights violations",Number of studies on gender violences conducted,Studies,2,,,,,,,,,,,,,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Educate on the dangers posed by mines and unexploded remnants of war (URW),Number of people trained,People,,,,,,,,,,,50,,50,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of a national referencing system for the care of girls and women victims of gender-based violence,Number of stakeholders whith a knowledge of the referral system in place,Structures,,,,5,,1,,,1,1,1,,1,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of care centers to GBV survivors,Number of care centers set-up and equipped,Centers,,,,1,,,,,1,1,,,1,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of care centers to GBV survivors,Number of care centers offering support services to GBV survivors,Centers,,,,1,,,,,1,1,,,1,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Prevention and response to human rights violations in the affected areas, including GBV cases, family separation and advocacy etc.",Number of activities conducted in the prevention and response to gender-based violence,Activities,,,,140,20,80,,,500,100,150,10,500,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Prevention and response to human rights violations in the affected areas, including GBV cases, family separation and advocacy etc.",Number of people affected by prevention and response activities,People,,,,20000,5600,10000,,,20000,10000,15000,1000,20400,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Prevention and responses to human rights violations in affected areas, including the protection of children separated and unaccompanied",Number of activities conducted on children prevention,Activities,,,,20,10,10,,,,10,10,10,20,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Prevention and responses to human rights violations in affected areas, including the protection of children separated and unaccompanied",Number of people the prevention and response activities have reached,People,,,,50000,10000,10000,,,,30000,10000,10000,10000,
Burkina Faso,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide a holistic and appropriate response to the most vulnerable or people who have suffered violations or have been abused, including providing care for GBV, EAFGA, ESNA etc. victims",Number of actors aware of the referencing system in place,Humanitarian Actors,,,,150,100,100,,,,100,100,100,100,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Coordination of the response,Number of sectoral meetings organised,Meetings,,,,10,,,,,,,,,,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Coordination of the response,Number of sectoral meetings organised,Meetings,,,,10,,,,,,,,,,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of dignity kits,Number of kits distributed,Kits,,,,100,,200,,,400,,100,,700,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Expand the psycho-social and programmes coverage and an access to vulnerable people to psycho-social support services,Number of people (boys and girl / men and women) receiving a legal or psycho-social support,People,,,,150,,,,,100,,,,100,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Expand the pyscho-social and legal programmes' coverage and vulnerable people's access to psycho-social support servces,Number of people (boys and girls/men and women) receiving a legal or psycho-social support,People,,,,200,150,,,,,200,150,,150,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implement, revive or support mechanisms and community structures for the protection of vulnerable populations",Number of children-friendly spaces and number of children in them,Children,,,,10000,10000,10000,,,,10000,10000,10000,10000,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Legal assistance, including a support to documentation (civil status, identity papers etc.)",Number of children from the communities registered in the civil status,Children,,,,20000,,15000,,,10000,,10000,,10000,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Legal assistance, including a support to documentation (civil status, identity papers etc.)",Number of children from the communities registered in the civil status,Children,,,,20000,,15000,,,10000,,10000,,10000,
Burkina Faso,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide a holistic and appropriate response to the most vulnerable people or people who have suffered from violations or abuses, including support (PEC) to GBV survivors",Number of people who received preventive services and care,People,,,,10000,3400,7000,,,19000,6000,12000,100,19000,
Burkina Faso,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Regularly produce information products (3W, humanitarian overviews, humanitarian reports, funding tables etc.) to better understand the humanitarian situation, identify gaps and highlight reponses",Number of information products developped,Products,26,,,,,,,,,,,,,
Burkina Faso,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the capacities of national actors (authorities and civil society) in the preparedness and response to emergencies,Number of training sessions for national actors (national authorities and civil society),Meetings,1,,,,,,,,,,,,,
Burkina Faso,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support and strengthen, at national level, the setting-up of the minimum WASH package with involved actors (CADRI, contingency plans, stimulation exercises, MIRA training etc.)",Number of contingency plans set-up,Contingency Plans,1,,,,,,,,,,,,,
Burkina Faso,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the strategic coordination, through inter-sectorial groups and sectorial groups/clusters, and HCT",Number of sector/cluster meetings,Meetings,18,,,,,,,,,,,,,
Burkina Faso,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the strategic coordination, through inter-sectorial groups and sectorial groups/clusters, by ensuring the participation of INGOs, NNGOs and the government",Number of humanitarian forums organised,Meetings,10,,,,,,,,,,,,,
Burkina Faso,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the strategic coordination, through inter-sectorial groups and sectorial groups/clusters, by ensuring the participation of INGOs, NNGOs and the government",Number of inter-sectoral meetings organised,Meetings,8,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conducting participatory, continuous and periodical surveys (EPA, EFSA)",Number of EFSA,Numbers,1,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conducting participatory, continuous and periodical surveys (EPA, EFSA)",Number of EPA surveys conducted,Numbers,2,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Joint analysis of food security, markets and risks to identify areas at risk and vulnerable populations",Number of conducted joint missions to assess the food situation and nutrition,Numbers,3,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Joint analysis of food security, markets and risks to identify areas at risk and vulnerable populations",Number of joint meteorological monitoring missions and agro-pastoral campaign evolution,Numbers,3,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Participate in the implementation and monitoring of strategies and national reponse plans,Number of implemented and adopted plans,Numbers,3,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Participate in the implementation and monitoring of strategies and national reponse plans,Number of monitoring and implementation missions,Numbers,3,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening of the capacities and technical support to food security actors and partners,Number of structures supported,Numbers,10,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening of the capacities and technical support to food security actors and partners,Number of traning sessions conducted,Numbers,5,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support initiatives promoting resilience,Number of initiatives supported,Numbers,2,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Assess the sectoral and inter-sectoral impact of food insecurity interventions,Number of assessments conducted,Numbers,2,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conditional food assistance,Amount of money transferred (cash for work in USD),Dollars,16945560,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conditional food assistance,Number of people benefiting from a conditional food assistance,People,706068,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Institutional support to technical services/regional offices,Number of technical services supported,Numbers,13,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promotion of seed banks/anticipated cereals purchase actions,Number of seed production initiatives supported,Numbers,10,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promotion of seed banks/anticipated cereals purchase actions,Quantity of cereals and legumes purchased from small producers (in tons),Tons,4044,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protect and rehabilitate/strengthen households’ livelihoods on food insecurity with the distribution of inputs to livestock (restocking, livestock feed and other veterinary zoo inputs)",Number of animals distributed (small ruminants),Animals,20900,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protect and rehabilitate/strengthen households’ livelihoods on food insecurity with the distribution of inputs to livestock (restocking, livestock feed and other veterinary zoo inputs)",Number of tons of livestock feed distributed (SPAI),Tons,15000,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support income-generating activities (IGA),Number of women benefiting from IGAs,People,7000,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Timely dissemination of analyses and early warnings at national level for different sectors and with recommended preventive measures,Number of early warning system bulletins published,Numbers,12,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Timely dissemination of analyses and early warnings at national level for different sectors and with recommended preventive measures,Number of information on food security published,Numbers,4,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional food assistance,Amount of money transferred (unconditional cash in USD),Dollars,3482772,,,,,,,,,,,,,
Burkina Faso,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional food assistance,Number of people benefiting from an unconditional food assistance,Numbers,95892,,,,,,,,,,,,,
Burkina Faso,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Unconditional emergency food assistance,Amount of money transferred (in USD for 9 months: from January to harvest),Dollars,572230,,,,,,,,,,,,,
Burkina Faso,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Unconditional emergency food assistance,Number of people in emergency situation receiving an unconditional food assistance,People,9093,,,,,,,,,,,,,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the needs of WASH kits for MAS children at health districts,Percentage of health related trainings that have expressed the need of WASH kits,Health Centres,,100,,,,100,100,,100,100,100,100,100,
