Country,Cluster,Objective,Activity,Indicator,Unit,Gambia_Target,Banjul_Target,Central River_Target,Lower River_Target,North Bank_Target,Upper River_Target,Western_Target
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Plan for and procure specialized nutritious foods for use in blanket supplementary feeding for children 6-23 months,Quantity of food (MT) procured for children 6-23 months under blanket supplementary feeding programme,Tons,0,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Plan for and procure specialized nutritious foods for use in targeted supplementary feeding for children 6-59 months,Quantity of food (MT) procured for malnourished children 6 - 59 admitted in the targeted supplementary feeding programme.,Tons,331,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Plan for and procure specialized nutritious foods for use in targeted supplementary feeding for PLW,Quantity of food (MT) procured for malnourished pregnant and lactating women.,Tons,243,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Plan for and procure specialized nutritious foods for use treating children 6-59 with severe acute malnutrition,Quantité de RUTF (MT) fournie aux enfants de 6-23 mois en malnutrition sévère et admis dans le programme IMAM,Tons,407,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Prevention of malnutrition,Number of children registered for multiple micronutrient supplementary program,Children,25000,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Prevention of malnutrition,Number of children registered in blanket supplementary feeding programme,Children,0,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Prevention of malnutrition,Number of PLW in blanket supplementary feeding programme,Pregnant Women,0,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide adequate, safe, appropriate and timely complementary feeding",Number of malnourished 6-59 registered under targeted supplementary feeding,Numbers,0,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide adequate, safe, appropriate and timely complementary feeding",Number of malnourished 6-59 registered under targeted supplementary feeding,Children,0,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Screening of malnutrition,Number of health staff trained on screening for SAM and MAM,Children,100,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support active screening of acute malnutrition at community levels and health facilities,Number of screening sessions conducted,Sessions,1,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support free of charge management of severe acute malnutrition (SAM ) in Hospital,Number of children with severe acute malnutrition admitted in therapeutic nutrition program,Children,620,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support free of charge management of severe acute malnutrition (SAM ) in out patient facilities,Number of children 6-59 months with severe acute malnutrition admitted in a therapeutic nutrition program,Children,5000,,,,,,
Gambia,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Treat moderately malnourished children 6-59 months,Number of children 6-59 supported under the targeted supplementary feeding program,Children,27500,,,,,,
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Activate and support the proper functioning of the integrated Early warning system,Number of early warning bulletins published,Documents,4,,,,,,
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Produce and Distribute Disaster Risk Maps for Each Region,Number of Maps Produced and shared,Numbers,,1,1,1,1,1,1
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support Multi- Sectoral Assessment of Risk, Vulnerability and Identification of Priority Needs",Number of Update of the Prioritisation Tool,Numbers,2,,,,,,
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the Development and Review of Country/Regional HNO and SRP,Country/Regional HNO and SRP Document Avalaible,Documents,2,,,,,,
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build the capacity of national counterparts to ensure alignment with national emergency response planning mechanisms and to increase the ability of national institutions to respond to emergencies.,Number of People Trained,People,,10,10,10,10,10,10
Gambia,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build the capacity of national counterparts to ensure alignment with national emergency response planning mechanisms and to increase the ability of national institutions to respond to emergencies.,Number of Training Sessions Held,Numbers,,1,1,1,1,1,1
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Analysis of the response and preparedness capacity of different actors to address food insecurity in case of flooding, drought and other hazards in the national contingency plans",Number of reports produced,Reports,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct Vulnerability Analysis Mapping (VAM) and risk assessments,Number of reports produced,Reports,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Empower communities on food security and resilience,Number of communities trained in disaster preparedness and mitigation,Communities,50,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Conduct joint emergency food security assessments (EFSA),Reports,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of analyses generated and shared,Reports,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of annual reference surveys conducted jointly,Surveys,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of information systems integrated in the national surveillance system,Structures,2,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of market research,Surveys,12,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of people trained in data collection,People,40,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening the national monitoring of agricultural and food situation,Number of people trained in the data compilation and analysis,People,10,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Capacity building and technical support to partners in emergency food security assessment, DRR/M and resilience",Number of partners benefiting from capacity building,Partners,12,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Capacity building and technical support to partners in emergency food security assessment, DRR/M and resilience",Number of training sessions organized for sector groups and communities,Trainings,7,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conduct crop-based food and nutrition education for communities,Number of sensitization meetings conducted in the communities,Trainings,50,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking, livestock feed and other zoo veterinary inputs)",Number of households livestock restocked,Households,500,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking, livestock feed and other zoo veterinary inputs)","Number of vaccinated, dewormed and treated animals",Animals,400000,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of vulnerable households to climate hazards through the distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season,Number of community irrigation structures rehabilitated,Communities,50,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of vulnerable households to climate hazards through the distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season,Number of households receiving assistance in agriculture,Households,3180,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of vulnerable households to climate hazards through the distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season,Number of tons fertilizer distributed,Tons,500,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of vulnerable households to climate hazards through the distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season distribution of agricultural inputs subsequent planting season (including lowland crops) for both rainy season and off-season,Number of tons seeds distributed,Tons,300,,,,,,
Gambia,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Timely analysis and dissemination of early warnings on food security at local, national and regional levels following a disaster",Number of timely alerts issued at national level,Alerts,6,,,,,,
Gambia,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conditional cash transfer,Number of food insecure people,People,265457,,,,,,
Gambia,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Unconditional cash transfer,Number of food insecure people,People,265457,,,,,,
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identification and mapping of areas , populations, behaviours and high risk period for cholera transmission","Number areas with joint WASH/Health analysis targeting the population most at-risk of cholera, for which priority WASH actions can be conducted",Areas,,1,1,1,1,1,1
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Promoting the creation of a local water Commission or other consultative bodies that include the most vulnerable users,"Number of consultative bodies (local water commission or committee, etc.) created that include the most vulnerable users at the decision-making level (potentially from project steering committees, maintenance committees, etc.)",Commitees,,,1,1,1,1,1
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support to national authorities for data collection and analysis on access to water and sanitation,"Number of areas with humanitarian organizations' operations with available data on access to water and sanitation, is available",Areas,,,1,1,1,1,1
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Monitoring of water resources in areas of food insecurity (IPC ≥ 3) and hydrological stress,Number of strategic water points regularly monitored for its functionality,Water Points,,,15,15,5,10,5
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening access to WASH in health centers / nutrition centers targeted on the basis of nutrition indicators and aggravating factors (diarrhea),Number of nutrition centers for which programs to improve WASH access are implemented in the framework of early response programs/early recovery,Nutritional Centers,,1,4,2,2,2,3
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",WASH activities in targeted communities based on nutrition indicators / diarrhea,Number of boys receiving from improved WASH access programmes in the framework of early response/early recovery programmes,Boys,,36,1070,690,267,535,183
Gambia,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",WASH activities in targeted communities based on nutrition indicators / diarrhea,Number of girls receiving improved WASH access programmes in the framework of early response/early recovery programmes,Children,,40,1076,700,550,272,200
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Create hygiene promotion activities targeting both women and men.,Number of women having improved knowledge on water and hygiene related diseases,Women,62870,,,,,,
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Creating , training and following up mixed (men and women) community mediators on treatment techniques and conservation of drinking water at home",Number of mixed community mediators (men/women) trained and aware of essential techniques to treat and store water at domestic level,People,150,,,,,,
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Créer des activités de promotion de l’hygiène ciblant les femmes et les hommes,Number of men having improved knowledge on water and hygiene related diseases,Men,62618,,,,,,
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implementation of the minimum WASH package (water points, latrines and sensitization) in schools that have a school feeding program",Number of schools with school feeding programme delivering an equitable WASH minimum package (girls and boys ),Schools,20,,,,,,
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Monitoring and evaluation on functionality of WASH package (residual chlorine, VIP latrines etc.) involving the most vulnerable","Number of people who have benefited from a project involving the most vulnerable people in the monitoring and evaluation of the functionality of a WASH package ( residual chlorine, VIP latrines etc.)",People,70789,,,,,,
Gambia,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Repairing strategic mixed water points in food insecurity pastoral areas (IPC ≥ 3),Number of strategic water points repaired,Water Points,60,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination and partnership strengthened,Capacity development supported,People,30,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination and partnership strengthened,Involvement in UN CCA/UNDAF and national development strategies actively maintained,Partners,1,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination and partnership strengthened,"Joint assessment, planning, and evaluation exercises held",Assessments,1,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Law and policy developed or strengthened,Number of advocacy interventions made,Advocacy,5,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Law and policy developed or strengthened,"Number of events, workshops and seminars organised",Events,10,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Services for persons with specific needs strengthened,Number of older refugees receiving specific support,People,800,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Services for persons with specific needs strengthened,Number of refugees with disability receiving specific support,People,200,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Health status of the population improved,Access of refugees to national or government primary health facilities ensured (Yes/No),Yes/No,,1263,,,,,10164
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Health status of the population improved,Number of refugees referred to primary and tertiary medical care,People,1500,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Level of individual documentation increased,# of government officials trained,People,90,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Level of individual documentation increased,# of identity documents issued to refugees,People,1000,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Population has optimal access to education,Primary education provided,People,2000,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Population has optimal access to education,Secondary education provided,People,800,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Population has optimal access to reproductive health and HIV services,Refugees included in national treatment program,Yes/No,11427,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Population has optimal access to reproductive health and HIV services,VCT services provided free of charge to refugees,Yes/No,11427,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Potential for integration realized,Advocacy conducted,Advocacy,7,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Potential for integration realized,"Coexistence projects promoted with development actors, government, private sector and other stakeholders",Projects,2,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Quality of registration and profiling improved or maintained,# of government officials trained,Officials,30,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Quality of registration and profiling improved or maintained,% of registration data updated during the last year,Percentage,95,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Self-reliance and livelihoods improved,# of community based committees / groups working on SGBV prevention and response,Commitees,30,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Self-reliance and livelihoods improved,# of refugees enrolled in apprenticeship / on-the-job training schemes,People,400,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Self-reliance and livelihoods improved,# of small business Associations formed / supported,People,20,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Self-reliance and livelihoods improved,# of survivors enrolled in income generating and occupational activities,People,20,,,,,,
Gambia,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Self-reliance and livelihoods improved,Number of refugees receiving production kits or inputs for agriculture / livestock / fisheries,People,2000,,,,,,
