Country;Cluster;Objective;Activity;Indicator;Unit;Senegal_Target;Dakar_Target;Diourbel_Target;Fatick_Target;Kaffrine_Target;Kaolack_Target;Kédougou_Target;Kolda_Target;Louga_Target;Matam_Target;Saint Louis_Target;Sédhiou_Target;Tambacounda_Target;Thiès_Target;Ziguinchor_Target
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Elaborate the contingency plan;Number of health facilities with a stock of essential medicines and tracer products;Health Centres;;11;5;5;5;5;5;5;5;5;5;5;5;5;5
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Evaluate the performance of the Ebola surveillance system including early detection, notification, initial investigation, its identification and monitoring of people in contact;Number of monitoring session of the surveillane system;Evaluations;;10;;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Evaluate the performance of the Ebola surveillance system including early detection, notification, initial investigation, its identification and monitoring of people in contact;Number of people in charge of creating the montoring-evaluation form;Medical Staff;;8;4;4;4;4;4;4;4;4;4;4;4;4;4
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Implement 20 nutritional surveillance sentinel sites in areas with a high prevalence of malnutrition;Number of functional sentinel sites;Nutritional Centers;;;6;;;;;;6;8;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Make operational Ebola treatment centers in St Louis, Tambacounda, Kaolack, Kolda and Ziguinchor;Number of selected treatment centers equipped;Health Centres;;1;1;;;1;;1;;;;;1;;
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Make operational Ebola treatment centers in St Louis, Tambacounda, Kaolack, Kolda and Ziguinchor;Number of treatment centers set-up;Centers;;;1;;;1;;1;;1;;;1;;1
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strenghen the Integrated Management of Childhood Illnesses (IMCI);Number of diarrhea, IRA and malaria cases in children under 5 who are properly cared for;Children;;859;857;857;857;857;857;857;857;857;857;857;857;857;857
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strenghen the Integrated Management of Childhood Illnesses (IMCI);Number of districts that implement the IMCI in affected regions;Districts;;7;2;2;2;2;2;7;2;2;2;2;2;2;2
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the availability of the Emergency Obstetric and Neonatal Care (EONC) in affected areas;Number of health facilities providing EONC;Health Centres;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the capacities of healthcare and non-healthcare workers part of the PEC of Ebola cases;Number of trained workers (healthcare and non-healthcare) from transit centers teams and treatment centers;Medical Staff;;7;5;5;5;5;5;5;5;5;5;5;5;5;7
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the capacities of healthcare and non-healthcare workers part of the PEC of Ebola cases;Number of treatment centers throughout Senegal which staff have been trained;Health Centres;;15;15;;;15;;15;;;;;15;;15
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Assurer un accès gratuit aux soins de santé primaires;Nombre de structures de santé approvisionnées en médicaments, Kits et intrants;Health Centres;;11;5;5;5;5;5;5;5;5;5;5;5;5;5
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Investigating outbreak alerts;Number of reports publicly shared, disseminated and providing laboratory test resultstests de laboratoire;Reports;;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Mise en place/Redynamisation des comités de gestion épidémie, équipe d'intervention rapide;Nombre de PVVIH en rupture de traitements qui sont maintenant sous ARV gratuitement;People;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Participate in the Epidemiological Surveillance (ES);Number of districts with completeness/on time data />70%;Districts;;11;5;5;5;5;5;5;5;5;5;5;5;5;5
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;People living with HIV (PLHIV) who have stopped treatment under anti-retro-viral (ARV);Number of PLHIV who have stopped treatment who are now under ARV, free of charge;People;;9;7;7;7;7;7;7;7;7;7;7;7;7;7
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the measles vaccination campaign;Number of children who received a dosage of measles vaccine free of charge;Children;;986;978;978;978;978;978;978;978;978;978;978;978;978;978
Senegal;Health;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the vaccine catch-up for the routine PEV antigens;Number of children completely vaccinated, free of charge;Children;;986;978;978;978;978;978;978;978;978;978;978;978;978;978
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Nutritional and health surveillance;Number of healthcare regions subject to a nutritional survey;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Nutritional and health surveillance;Number of regions with an epidemiological surveillance system;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Strengthening of health data;Number of health facilities with at least 1 staff trained on information system and management;Health Centres;;104;92;92;92;92;92;92;92;92;92;92;92;92;92
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Strengthening of health data;Number of regions regularly transmitting monthly data on malnutrition management;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Study on the persistence of malnutrition;Number of held joint missions;Missions;;;;;;;;;;1;1;;1;;
Senegal;Nutrition;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Study on the persistence of malnutrition;Qualitative study on the persistence of malnutrition in regions of high prevalence;Regions;;;;;;;;;;1;1;;1;;
Senegal;Nutrition;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Communication on essential nutritional practices, infant and young child development;Number of health workers and community agents trained in interpersonal communication and/or ANJE;Medical Staff;;78;74;74;74;74;74;74;74;74;74;74;74;74;74
Senegal;Nutrition;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Communication on essential nutritional practices, infant and young child development;Number of people benefiting from C4D activities;People;;11138;11132;11132;11132;11132;11132;11132;11132;11132;11132;11132;11132;11132;11132
Senegal;Nutrition;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Screening of acute malnutrition and referral towards care centers;Number of 6-59 month-old children regularly screened for acute malnutrition;Children;;101219;101219;101219;101219;101219;101219;101219;101219;101219;101219;101219;101219;101219;101219
Senegal;Nutrition;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the capacity of health and community partner on PECMAS;Number of stakeholders and community partners trained/retrained on PECIMA;Medical Staff;;78;74;74;74;74;74;74;74;74;74;74;74;74;74
Senegal;Nutrition;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the capacity of health and community partner on PECMAS;Number of supported health facilities with anthropometric equipment and adequate management tools;Health Centres;;94;92;92;92;92;92;92;92;92;92;92;92;92;92
Senegal;Nutrition;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Coordination of nutrition actors;Number of coordination and harmonisation meetings conducted at central and regional levels;Meetings;;2;;;;;;;;;;;;;
Senegal;Nutrition;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Coordination of nutrition actors;Number of health and nutrition health groups conducted for the coordination of activities;Meetings;;12;;;;;;;;;;;;;
Senegal;Nutrition;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Strengthen the monitoring and management systems of nutritional inputs stocks;Number of regions providing stock control reports;Reports;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Nutrition;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Strengthen the monitoring and management systems of nutritional inputs stocks;Number of regions supported who have not faced no more than 3 days shortage of Ready-to-Use Therapeutic Food (RUTF);Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Conduire / faciliter des missions coordonnées d'évaluation sur la préparation et la réponse à l'épidémie Ebola;Nombre de missions d'évalutation sur la préparation et la réponse à l'épidémie Ebola;Missions;;;;;;;2;1;;;;1;1;;1
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Conduire / faciliter missions coordonnées d'évaluation multisectorielles avec les acteurs clés;Nombre d'évaluations multisectorielles conduites avec la participation du gouvernement;Evaluations;7;;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Créer et mettre à jour régulièrement une base de données de référence (baseline) au niveau national/ régional avec des informations harmonisées pour faciliter l'analyse et améliorer la planification et le suivi;Nombre de bases de données (baseline) crées et partagées avec les acteurs clés;Databases;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Développer et mettre à jour le plan de réponse stratégique (SRP) basé sur l'aperçu des besoins humanitaires (HNO);Nombre d'HNO et SRP développés;Plans;;2;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Développer et mettre à jour le plan de réponse stratégique (SRP) basé sur l'aperçu des besoins humanitaires (HNO);Révision du Plan de Réponse (SRP);Plans;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Reccueillir les données auprès des secteurs actifs au Sénégal et faire la cartographie des zones à risque d'épidémies;Nombre de cartes des zones à risque d'épidémies;Maps;;2;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;"Mettre en place des marqueurs de ""résilience"" dans les projets du plan de réponse stratégique (SRp)";Nombre de projets incluant des activités de résilience.;Projects;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Mobilise resources to finance projects and the work of humanitarian actors through response plans (SRP);Number of projects financed through the mobilisation of SRPs' resources;Projects;10;;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Prepare key messages to strengthen and support the advocacy and mobilisation of resources;Number of key messages prepared, regularly updated and shared;Messages;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Regularly produce analyses and communication materials (3W, humanitarian overview, bulletin, sitrep etc.) for a better understanding of the humanitarian situation, identification of gaps and highlight of responses adopted/to be adopted;Number of products information developed (dashboards, sitreps, bulletins, 3W etc.);Products;;3;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support and strengthen, at national level, the implementation of the minimum package of preparedness to emergencies/disasters/outbreaks with concerned actors (contingency plans, simulation exercises, MIRA training etc,);Number of contingency plans updated (per year);Plans;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support and strengthen, at national level, the implementation of the minimum package of preparedness to emergencies/disasters/outbreaks with concerned actors (contingency plans, simulation exercises, MIRA training etc,);Number of MIRA trainings organised (per year);Trainings;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the strategic coordination through the dialogue and facilitation of the Country Humanitarian Team (CHT) work;Number of meetings of the CHT conducted every semester;Meetings;;3;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the strategic coordination through the dialogue and facilitation of the Country Humanitarian Team (CHT) work;Number of work-plans developed;Plans;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the strategic coordination, through the facilitation of inter-sectoral working groups, sectorial groups/clusters, by ensuring the participation of INGO, NNGO and the government;Number of inter-sectoral meetings per semester;Meetings;;1;;;;;;;;;;;;;
Senegal;Coordination and Support Services;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Support the strategic coordination, through the facilitation of inter-sectoral working groups, sectorial groups/clusters, by ensuring the participation of INGO, NNGO and the government;Number of sectorial meetings per month;Meetings;;1;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Coordination of the food security sector;Number of cluster meetings at national level;Numbers;;8;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Establish a community participatory monitoring system and sentinel sites monitoring food security and its causes;Number of established and reinforced data systems;Systems;1;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Joint analysis of food security, nutrition, outbreaks, markets and risks to identify areas at risk and vulnerable populations;Number of carried-out joint reports leading to the identification of areas at risk;Reports;6;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Knowledge management et capitalisation of best DRR and food security practices;Number of established or strengthened knowledge management systems;Systems;1;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Strengthen the capacity to analyse the reponse to food insecurity of different actors;Number of reponse assessments held;Analysis;3;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Support and strengthening of the early warning system;Number of partners and staff with a reinforced capacity to collect and analyse food security and vulnerability;Partners;10;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Food assistance against assets (cash for assets, food for assets);Number of men and women receiving assistance;People;81000;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;On –time broadcasting of analyses and early warnings at local, national and regional levels for different sectors and containing the recommended preventive measures (awareness);Number of alerts broadcasted on time;Alerts;4;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Pre-positioning of urgent food stocks at local, national and regional levels;Volume of pre-positioned food stocks;Tons;0;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Promotion of the cereals banks/seeds banks/warrantage actions and in advance purchasing of cereals;Number of people participating in the cereals/seeds banks and warrantage;People;0;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Protect livelihoods of the most vulnerable households with the strengthening of capacities to improve production;Number of people with a strengthened capacity;Numbers;37000;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Rehabilitation/creation of the environment (RNA, soils conservation…) and of productive infrastructures (irrigation, zaï pit, stony soils…) necessary for the protection/strengthening of communities’ livelihoods on food insecurities through conditional transfers (CFW/FFW/…);Number of households having benefited from an assistance in form of a conditional cash or in-kind transfer;Numbers;14000;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the capacity of national partners (authorities and civil society) in the preparedness and response to emergencies;Number of trainings to strengthen the capacities conducted;Trainings;4;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthen the resilience of livelihoods by intensifying agricultural production through ‘Inputs Stores Cooperatives’;Number of agricultural inputs stores created Number of OP beneficiaries;Numbers;0;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Distribution of agricultural inputs for the rainfall season and the off-season;Number of households benefiting during the rainfall seasonNombre ménages;Numbers;22500;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Distribution of pastoral inputs (cattle food, zoo-technical treatments);Number of pastoral households benefiting from an assistance;Numbers;1000;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Free food assistance (in-kind and monetary transfer);Amount received, by type, by beneficiaries who get food assistance in form of monetary transfer;Dollars;20000000;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Free food assistance (in-kind and monetary transfer);Number of men and women, girls and boys receiving an in-kind and monetary assistance;Numbers;927416;;;;;;;;;;;;;;
Senegal;Food Security;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Free food assistance (in-kind and monetary transfer);Number of tonnage received, by type, by beneficiaries who get food assistance in form of monetary transfer;Tons;19000;;;;;;;;;;;;;;
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Assessing the WASH NUT component in CREN/UREN;Number of assessed CREN/UREN;Nutritional Centers;;0;5;0;0;0;0;0;0;5;10;0;0;0;0
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Identification and mapping of areas, populations, practices and periods at high risk of cholera (transmission contexts);Number of areas with a joint WASH/health assessment of population with a high risk of contracting cholera and in which priority WASH actions can be conducted;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Identification and mapping of areas, populations, practices and periods at high risk of Ebola (transmission contexts);Number of areas with a joint WASH/health assessment of population with a high risk of contracting cholera and in which priority WASH actions can be conducted;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Identifying and mapping of areas at risk of disasters (primary floods);Number of areas covered by an available mapping of flood-prone areas;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Support to national authorities for data collection and data analysis regarding access to water and sanitation;Number of humanitarian organisations action areas with available data on access to water and sanitation;Regions;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Deliver the minimum WASH package to schools in extreme cholera and Ebola risk areas;Number of schools which have the minimum WASH package;Schools;;50;0;20;30;30;30;40;0;30;0;30;30;0;30
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthening of resource people on the prevention against cholera and Ebola at community level;Number of community relays trained;Community Relays;;250;265;127;92;186;28;129;198;320;329;103;220;173;80
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Strengthening the access to WASH in nutrition centers located in areas targeted based on malnutrition indicators with aggravating factors (diarrhea);Number of nutrition centers for which programmes to improve the access to WASH have been implemented in the framework of the early response/early recovery programmes;Nutritional Centers;;136;94;56;97;69;32;73;86;80;114;48;97;164;101
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Creation, training to monitor mix community relays (men and women) on treatment techniques and conservation of the drinking water at home;Number of mix community relays (men and women) who were trained and have a knowledge of essential treatment techniques and conservation of drinking water at home;Community Relays;;250;265;127;92;186;28;129;198;320;329;103;220;173;80
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Distribution of hygiene kits;Number of hygiene kits distriibuted;Kits;;6991;7388;3562;2573;5212;792;3597;5531;8955;9210;2880;6147;4850;2230
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Prevention message to households on the transmission of cholera and Ebola during epidemiological periods;Number of people whom hygiene promotion and cholera & Ebola prevention messages has reached;People;;30000;20000;6000;10000;12500;1500;9000;5000;12500;10000;6000;2500;12500;12500
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Setting-up of a minimum WASH package in places treating Ebola cases (transit centers/treatment centers);Number of centers with a minimum WASH package;Centers;;40;7;3;5;7;1;1;1;4;10;1;2;10;8
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Setting-up of a WASH in Nut package for malnourished couples/mothers-children (nutrition centers);Number of children admitted for SAM treatment using provided hygiene kits containing key messages on hygiene / parents or accompanists behaviours;Children;;5491;5803;2798;2021;4094;622;2825;4345;7034;7234;2262;4828;3810;1751
