Country,Cluster,Objective,Activity,Indicator,Unit,Mauritania_Target,Adrar_Target,Assaba_Target,Brakna_Target,Dakhlet Nouadhibou_Target,Gorgol_Target,Guidimakha_Target,Hodh Ech Chargi_Target,Hodh El Gharbi_Target,Inchiri_Target,Nouakchott_Target,Tagant_Target,Tiris Zemmour_Target,Trarza_Target
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Screen and treat children with HIV/AIDS admitted at the CRENI,Percentage of children (girls and boys) who are not responding to MAS treatment and that have been tested for VIH,Percentage,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Supplement PLWs with iron/folic acid,Number of malnourished PLW supplemented,Numbers,10000,0,1,1,0,1,1,1,1,0,1,1,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the screening of 6-59 month-old children and FEFAs,Number of Moughataas that organised active screenings in 8 regions,Numbers,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop minimum standards of protection (including the PE) applicable to food security,The document on the minimum standard on food security protection finalised,Documents,1,,,,,,,,,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In partnership with the community and local authorities, ‘avoid/mitigate’ harmful adaptation mechanisms (implement activities to prevent any forms of exploitation, including sexual violence and/or the use of negative coping mechanisms)",Number of communities where awareness campaigns need to be conducted within communities at risk of food insecurity,Communities,,,10,10,,,10,10,,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Mapping and analysis of communities’ vulnerability living in areas affected by food insecurity, emphasizing on risks and the impact on the protection of the most vulnerable groups",Number of communities where vulnerable people have been identified and disaggregated by age and gender,Communities,,,10,10,,,10,10,10,,,10,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Awareness and training of community and religious leaders, and in-charge of education, youth and health technical services on children’s rights and major children protection topics",Number of people trained and number of restitution session,Participants,,,1,1,,,1,1,1,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Awareness and training of community and religious leaders, and in-charge of education, youth and health technical services on children’s rights and major children protection topics",Number of trainings organised,Trainings,,,1,1,,,1,1,1,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Awareness and training of sectors in action in areas with a ‘Do No Harm’ principle,Number of sectors made aware of,Sectors,,,1,1,,,1,1,,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the integration of protection principles in all sectors of intervention’s humanitarian response,Number of sectors made aware of,Sectors,,,1,1,,,1,1,,,1,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Training of community actors (NGO, CBO etc.) and in-charge of the education, youth and health technical services on the identification, documenting, referencing and monitoring of children & women cases, victims of violence","Number of actors trained, number of restitution sessions organised",Participants,,,1,1,,,1,1,1,,,,,
Mauritania,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Training of community actors (NGO, CBO etc.) and in-charge of the education, youth and health technical services on the identification, documenting, referencing and monitoring of children & women cases, victims of violence",Number of trainings,Trainings,,,1,1,,,1,1,1,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Create community self-protection groups,Number of conflict prevention mechanisms implemented,Mechanisms,15,,,,,,,,,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement counselling centers for GBV victims in targeted areas,Number of actors trained,Community Relays,,,48,48,,48,48,48,48,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement counselling centers for GBV victims in targeted areas,Number of counselling centers created,Centers,8,,,,,,,,,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a holistic and appropriate response to the most vulnerable people and victims of violations or abuse,"Number of victims with an access to care services (psycho-social, medical, reinsertion, legal, socio-economic support)",Victims,,,1,1,,,1,1,,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a psycho-social support and emotional stimulation activities to malnourished mothers and children,"Number of families educated, number of animators trained and centers reached",Households,,,1,1,,1,1,1,1,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a psycho-social support and emotional stimulation activities to malnourished mothers and children,Number of women and children affected,Participants,,,1,1,,,1,1,1,,,,,
Mauritania,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide youth networks with necessary and appropriate tools for GBV prevention with the community (child marriage, sexual violence, MGF)","Number of awareness, tools set-up and people educated",Trainings,,,1,1,,,1,1,1,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Participate in the multisectoral mapping of vulnerabilities to design a global action plan,Existence of an accurate and accessible database,Databases,,,1,1,,1,1,1,1,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Produce a joint conflict risk analysis by involving key State-run services as prime responders in case of emergency,Number of State services responsible familiar with implemented risk management and preventive measures,Services,,,10,10,,10,10,10,,,10,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Créer des emplois avec la modalité de Cash for Work au profit de 10000 personnes (hommes, femmes et jeunes",,,,,,,,,,,,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Educate communities in affected areas to fully participate in early recovery efforts,Number of people involved,People,,,30,80,,30,30,40,30,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implement IGA initiatives for the socio-economic reintegration of women and men,Number of women and men benefiting from social protection safety nets,People,,,1600,3000,,2400,1600,3000,1600,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implement saving mechanisms/collective credit to increase the community's economic activity level,Number saving mechanisms/collective credit established,Mechanisms,,,2,3,,2,3,2,,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Install early warning systems at community level, including mosques, schools and other outreach means",Number of early warning systems installed,Systems,,,1,1,,1,1,,,,1,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Install early warning systems at community level, including mosques, schools and other outreach means",Number of structures involved,Structures,,,1,1,,1,1,1,,,3,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide agricultural inputs to affected communities,Number of people having benefited from agricultural inputs,Cooperatives,,,20,40,,20,30,20,20,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Rehabilitate and recover degraded lands,Number of hectares rehabilitated and recovered,Households,,,200,400,,300,400,300,400,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitate farming infrastructures (dikes, micro-dams, fences) using a cash-for-work approach",Number of irrigated and rendered functional hectares,Households,,,300,600,,500,600,400,600,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Rehabilitate water points,,,,,,,,,,,,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Rehabilitation of water points benefiting the most vulnerable populations,Number of water points rehabilitated,Water Points,,,10,15,,10,15,15,10,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support market-gardening production in irrigable-prone, chronically deficit or floods-prone areas",Number of households/cooperatives (women and men) having received a support to restart market-gardening activities,Cooperatives,,,20,60,,30,40,20,35,,,,,
Mauritania,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the reconstitution of herds benefiting the most vulnerable households forages or floods,Number of households having restarted a small-breeding business,Households,,,100,100,,100,100,100,100,,,,,
Mauritania,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Participate in multi-sectoral assessments on the impacts and needs, targeting women and vulnerable groups in affected areas",A database of needs available,Databases,,,1,1,,1,1,1,,,1,,,
Mauritania,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Set-up early warning systems at community level, involving mosques, schools and using other means of communication",,,,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct multi-sectoral analyses of risks, vulnerabilities and opportunities to identify the needs/gaps (analysis disaggregated by gender and age)",Number of risks analyses including data disaggregated by gender and age,Joint Analyses,1,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct/facilitate coordinated multi-sector assessments missions with key partners,Number of multi-sector joint assessments conducted,Assessments,2,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Elaborate/update the Strategic Reponse Plan (SRP) based on the humanitarian needs overview (HNO),HNO/SRP elaborated/updated,Documents,2,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Facilitate the monthly monitoring and mandatory data collection for the ORS reporting tool,Number of sectors reporting to ORS,Sectors,7,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Maintain the aerial or rapid logistics capacity for emergency deployments, medical and safe evacuations etc. between operational remote areas and the capital",Number of passengers covered monthly on case basis and seat occupancy rate standards,Participants,200,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Maintain the aerial or rapid logistics capacity for emergency deployments, medical and safe evacuations etc. between operational remote areas and the capital",Users group quarterly meetings,Meetings,4,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Regular release of information products (3W, dashborads, bulletins etc.) to better understand the humanitarian situation, identify gaps and highlight reponses","Number of information products released (dashboards, sitreps, bulletins, 3W etc.)",Products,10,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the strategic coordination through the HCT,Number of HCT meetings supported,Meetings,12,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support the strategic coordination, through inter-sector and sector working groups, by ensuring the participation of INGOs, NNGOs and of the government",Number of inter-sector coordination committee monthly meetings,Meetings,,,6,4,4,4,4,6,4,,12,4,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the strenghening of national partners’ capacities (authorities and civil society) in the preparation and response to emergency,Number of assessments of national capacities conducted,Evaluations,2,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Integrate risk mitigation activities in the emergency planning,The integrated contingency plan of risk mitigation activities,Activities,1,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support and strengthen, at national level, the implementation of the minimum preparedness package with other relevant stakeholders (contingency plans, simulation exercises, MIRA training etc.)",Contingency plan updated,Contingency Plans,1,,,,,,,,,,,,,
