Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Adara Development,,,Corporation,Australia,Education,Health,,Health,,"Adara work is dedicated to integrated development projects that are community led, strengthening capacity in the communities in which they work. The focus is long term sustainable support, in partnership with local communities on health, education and community infrastructure, for the benefit of children and their families",,http://www.adaragroup.org/foundation-projects/nepal/,https://www.facebook.com/adaragroup?fref=ts,https://twitter.com/AdaraGroup,http://www.adaragroup.org/how-you-can-help/donate/,http://www.ain.org.np/member_ingos.php
Adhikaar,,,NGO - International,USA,Funding,,,,,Adhikaar is raising funds and coordinating with volunteers in India and Nepal.,,http://www.adhikaar.org/,https://www.facebook.com/adhikaar,https://twitter.com/adhikaar,https://life.indiegogo.com/fundraisers/immediate-relief-for-nepal-earthquake-survivors,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Adventist Development and Relief Agency International,,ADRA,NGO - International,international,Shelter & NFI,Early Recovery,Funding,,,ADRA is distributing much needed shelter to affected families in Dhading and Kavre districts.Also bringing relief supplies already enroute with 10 emergency response team members on their way to help on the ground. Collecting funds,,https://adra.org/,https://www.facebook.com/joinADRA,https://twitter.com/ADRAIntl,https://adra.org/emergency-donation/,http://www.ain.org.np/member_ingos.php
AFAD Istanbul,,,Government,Turkey,Search & Rescue,Food Security,Shelter & NFI,,,"The Turkish Red Cresent sent blankest, tents and six tonnes of food flown in by Turkish Airlines. National Medical Rescue Organization, known by turkish acronym UMKE sent 10 highly trained staff.

As of May 1:
Turkey has also contributed to search-and-rescue efforts under the Prime Ministry’s Disaster and Emergency Management Authority, known as AFAD. 

On Wednesday, AFAD supplemented earlier contributions by sending 16 tons of supplies including tents for the displaced, food, water and supplies for children. 

Immediately after the quake, the Turkish authority had sent a 96-member search and rescue team along with 1,000 tents and 320 food packages. Several other Turkish agencies — including the Humanitarian Aid Foundation, Turkish Red Crescent, Search and Rescue Foundation and Confederation of Public Servants Trade Unions — sent have sent emergency and medical supplies, doctors and search and rescue experts.(http://news.videonews.us/1000-europeans-missing-in-nepal-quake-aftermath-018563.html)","74 experts, 16 tonns of humanitarian aid",http://www.istanbulafad.gov.tr/,https://www.facebook.com/groups/5749656029/,https://twitter.com/AFADTurkey,http://www.dailysabah.com/nation/2015/04/27/turkeys-afad-and-other-aid-organizations-on-ground-in-nepal,http://www.dailysabah.com/nation/2015/04/27/turkeys-afad-and-other-aid-organizations-on-ground-in-nepal
AGIRE,,,NGO - International,Italy,Funding,,,,,Fundraising appeal launched supporting 7 NGOs which are on standby to deploy to Nepal,,http://www.agire.it/it/agire_onlus/english.html,https://www.facebook.com/agire,https://twitter.com/agire,http://www.agire.it/it/donaora_nepal.html,http://www.agire.it/it/agire_onlus/english.html
Aide et Action,,,NGO - International,Switzerland,Shelter & NFI,Nutrition,Health,Education,,"Supported Lamjung (Bichaur, Ilimpokhari and Dudhpokhari VDCs) with tents, medicine and foods

Planned school buildings repair and construction, support of temporary schools, and housing for most needy",,http://www.aide-et-action.org/,https://www.facebook.com/AideEtActionInternational,https://twitter.com/aeaint,http://www.aea-southasia.org/donatenow.aspx,http://www.ain.org.np/member_ingos.php
Airbnb,,,Corporation,International,Logistics,,,,,Airbnb has activated their emergency accommodation tool for people who need a place to stay or people who have free accommodations in or near Kathmandu.,,https://www.airbnb.co.uk/disaster/nepal-earthquake,https://www.facebook.com/airbnb,https://twitter.com/airbnb,https://www.airbnb.co.uk/support-nepal,"HumanityRoad SitRep, https://www.airbnb.co.uk/disaster/nepal-earthquake"
Airbus,,AB,Corporation,Germany,Logistics,,,,,"The Airbus Foundation, the German Non-Governmental Organisation humedica e.V., and Nepal Airlines have used the delivery flight of a Nepal Airlines Airbus A320 from Hamburg to Kathmandu to transport eight doctors and medical specialists to Nepal. The multinational humedica team consists of surgeons, nurses and medical coordinators from Germany, UK and the Netherlands. They will support those affected by the earthquake in Nepal with urgently required medical supplies and services.",,http://www.airbusgroup.com,https://www.facebook.com/AirbusGroup,https://twitter.com/AirbusGroup,,http://www.airbusgroup.com/int/en/news-media/press-releases/Airbus-Group/Financial_Communication/2015/04/20150430_airbus_foundation_humedica_nepal.html
AKUT Arama Kurtarma Dernegi / AKUT Search and Rescue,,AKUT,NGO - International,Turkey,Search & Rescue,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Albari,,,NGO - Local,Nepal,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,"Recieved via email from AIN on May 4"" I think"
All Hands Volunteers,,AHV,NGO - International,USA,Early Recovery,Assessments,WASH,Shelter & NFI,,"All Hands Volunteers Disaster Assessment Response Team (DART) is on the ground in Nepal assessing the damage. All Hands has utilized the efforts of 56 volunteers to assist their partner NGO, Catholic Relief Services in distributing 4,500 emergency relief packages containing shelter and WASH (water, sanitation, and hygiene) items to Nepalese communities impacted.",,http://hands.org/,https://www.facebook.com/hands.org,https://twitter.com/AllHands,,"http://reliefweb.int/report/nepal/disaster-response-and-recovery-organization-all-hands-volunteers-announces-immediate
https://www.facebook.com/hands.org/photos/a.138640592856106.35546.120494628004036/824709564249202/?type=1&theater"
Alliance of International Doctors,,AID,NGO - International,Turkey,Early Recovery,Health,,,,"Medical aid and doctors. Responding in Bhaktapur, Kathmandu.
AID has a tent clinic at Bhaktapur Durbar Square provoiding outpatient care(""200 people a day"").They also occasionally conduct mobile clinics at camps and mosques and distribute maks and water purification tablets.  ",3 Turkish doctors supported by Nepalese nurses and personnel,http://aidoctors.org/,https://www.facebook.com/aidoctors?fref=ts,https://twitter.com/aid_english,https://give.hands.org/events/nepal-earthquake-relief/e49303,"https://twitter.com/AID_English/status/593320066780893185/photo/1
https://www.facebook.com/aidoctors/timeline/story?ut=43&wstart=0&wend=1433141999&hash=-1925759164338709776&pagefilter=3
HumanityRoad SitRep. Also, an email from a representative answering specific questions "
Alliance2015,,,NGO - International,Germany,Early Recovery,,,,,"Alliance2015 is a network of eight European NGO's. Alliance2015 members Helvetas, Welthungerhilfe, PIN, Concern Worldwide, ACTED and Cesvi are on the ground in Nepal.",,http://www.alliance2015.org/,https://www.facebook.com/pages/Alliance2015/219469601460510,NA,,http://www.alliance2015.org/index.php?id=25&no_cache=1&tx_ttnews[tt_news]=129
Ama Foundation,,,NGO - International,USA/Nepal,Health,Nutrition,,,,"We are collecting data as we distribute rice and dal and sanitary pads, soap in Godavari/Bishkhu Narayan

April 28th: "" we have raised almost $20,000 for earthquake relief for our surrounding villages...We are sharing and bringing in local relief groups, as large organizations and government won't be able to help in this area""",,http://www.ama-foundation.org/,https://www.facebook.com/pages/Ama-Foundation/49777635996?ref=ts,https://twitter.com/AmaGharNepal,,http://www.ain.org.np/member_ingos.php
America Nepal Medical Foundation,,ANMF,NGO - International,USA/Nepal,Health,Shelter & NFI,,,,"Coordinating medical relief efforts by providing support and funds to agencies working on the ground. Medical team in Nepal. Working at  at Charikot District Hospital, Sindhupalchowk. A team of ten has travelled to Gairibisauna, Kavrepalanchowk. Next in coordination with NEOC and UNOCHA, ANMF will be sending three teams to the rural district of Nuwakot. Each team will carry medical and other basic supplies for food and shelter.

NOTE: Funds are being raised by PossibleHealth in the US specifically for ANMF. ",,http://americanepalmedicalfoundation.com/,https://www.facebook.com/groups/134786886533076/,https://twitter.com/possiblehealth,https://life.indiegogo.com/fundraisers/nepal-earthquake-relief-fund,"http://www.maheshpoudyal.com/nepal-earthquake-25-april-2015/
http://americanepalmedicalfoundation.com/news-from-nepal-update-14-2/"
American Himalayan Foundation,,AHF,NGO - International,USA,Funding,,,,,American Himalayan Foundation has started a fund to help people affected by earthquake. 100% of gifts will go directly to helping rebuild and recover in the wake of this terrible disaster. Also this tweet: Incredibly grateful to @hardwear for donating 50k to #EarthquakeRelief in #Nepal (https://twitter.com/HimFdn/status/5931525969587855380),,http://www.himalayan-foundation.org/,https://www.facebook.com/HimFdn,https://twitter.com/HimFdn,http://himalayan-foundation.org/blog/122083,http://himalayan-foundation.org/blog/122083
American Jewish Joint Distribution Committee,,JDC,NGO - International,USA,Early Recovery,,,,,"The American Jewish Joint Distribution Committee (JDC), , said it is partnering with the IDF field hospital in Kathmandu through providing equipment such as neonatal incubators. JDC said that while it provides immediate aid, it is also laying the foundation for our longer-term relief efforts in Nepal. JDC is mobilizing its emergency teams and coordinating with local authorities, the Nepalese and Indian governments, and global partners to assess the unfolding situation and ensure survivors’ immediate needs are addressed. Medical and other supplies, collaborating with UNICEF, etc. Emergency teams expected to arrive within 48 hours",,http://jdc.org/,https://www.facebook.com/TheJDC,https://twitter.com/TheJDC,https://secure3.convio.net/jdc/site/Donation2;jsessionid=8878A0CF93F1EC33B76ADB961271A7CF.app359a?df_id=4102&4102.donation=form1,https://secure3.convio.net/jdc/site/Donation2;jsessionid=8878A0CF93F1EC33B76ADB961271A7CF.app359a?df_id=4102&4102.donation=form1
American Jewish World Service,,AJWS,NGO - International,USA,Funding,Early Recovery,Shelter & NFI,Health,,"As of April 29 distributing funds through community-based groups led by and for these local communities. Focusing efforts on helping to rebuild broken infrastructure, providing psychosocial support to survivors who have experienced tremendous trauma, and to support mitigation efforts for future emergencies. Funds going to provide food, shelter, emergency medical aid and supplies to most vulnerable communities in Nepal- new & expectant mothers, ethnic minorities, indigenous communities, LGBT people, etc.","5 doctors one surgeon
Emergency Response team to arrive this weekend",https://www.facebook.com/americanjewishworldservice,https://www.facebook.com/americanjewishworldservice,https://twitter.com/ajws,https://secure.ajws.org/site/Donation2?df_id=8880&8880.donation=form1&__utma=233384270.1031719062.1430451869.1430451869.1430451869.1&__utmb=233384270.1.10.1430451869&__utmc=233384270&__utmx=-&__utmz=233384270.1430451869.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)&__utmv=-&__utmk=94133854,"https://secure.ajws.org/site/Donation2?df_id=8880&8880.donation=form1&__utma=233384270.1757238.1430019805.1430019805.1430072915.2&__utmb=233384270.1.10.1430072915&__utmc=233384270&__utmx=-&__utmz=233384270.1430019805.1.1.utmcsr=google|utmccn=%28organic%29|utmcmd=organic|utmctr=%28not%20provided%29&__utmv=-&__utmk=23221497
http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
http://blogs.ajws.org/blog/2015/04/29/crisis-in-nepal-ajws-responds-to-the-countrys-devastating-earthquake/?utm_source=ajwshomepage&utm_medium=click&utm_campaign=ajwshomepage"
American Leprosy Missions,,,NGO - International,USA,Health,,,,,Medical assistance and counselling ,,http://www.leprosy.org/american-leprosy-missions-assists-victims-of-the-devastating-nepal-earthquake/,https://www.facebook.com/AmericanLeprosyMissions,https://twitter.com/americanleprosy,https://secure2.convio.net/alm/site/Donation2?idb=2076787596&df_id=2340&2340....,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
AmeriCares,,,NGO - International,USA,Early Recovery,Health,,,,"International Medical Corps (IMC), The Blue Diamond Society (BDS), Friends of Shanta Bhawan (FSB), Himalayan Healthcare (HH), Tewa, the Nepal Women's Fund (Tewa)",Sending a team from India and are preparing to send shipments of medical aid and relief supplies,http://americares.org/,https://www.facebook.com/americares,https://twitter.com/americares,"http://www.americares.org/nepalearthquake
https://www.crowdrise.com/americares-nepal
http://wtnh.com/2015/04/26/stamfords-americares-sends-disaster-relief-to-nepal/","http://www.10tv.com/content/stories/2015/04/25/kathmandu-nepal-nepal-earthquake-death-toll-reaches-1805.html
http://wtnh.com/2015/04/26/stamfords-americares-sends-disaster-relief-to-nepal/"
Amnesty International,Amnesty Nepal (http://www.amnestynepal.org/),,NGO - International,International,Protection,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.amnestynepal.org/ ,https://www.facebook.com/amnesty.nepal,https://twitter.com/amnestynepal,,
Ananda Marga Universal Relief Team,,AMURT,NGO - International,International,Early Recovery,,,,,"AMURT Nepal with support from Indian volunteers has responded with several relief teams that provide medical care and distribute food and non-food supplies. Currently the teams are covering the following locations: 1. Nagalevar, shankharapur VDC, Kathmandu district. 2. Bhotechaur, Sindhupalchowck district. 3. Baluwa VDC, Kavrepalnchowk district. 4. Namtar VDC, Makawanpur district.","Medical care, distribution of food and non-food supplies","http://www.amurt.net/
https://www.youtube.com/user/AMURTRelief",https://www.facebook.com/AnandaMargaUniversalReliefTeamAMURT,https://twitter.com/amurt,"http://www.amurt.net/donations/#!/c/0/offset=0&sort=nameAsc
https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=XjKDaA8tDOwAWUa1jNf4xhfzu8EbAKQSeL2FuJYNSgGfd5M-WkeKQRKD_Sm&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e",http://www.amurt.net/nepal-earthquake-relief/
Animal Welfare Network Nepal,,AWNN,NGO - Local,Nepal,Animal Rescue,,,,,Their member organisation is on the ground for rescue and treatment activities on their own intiative and is comitted to go ahead in collaboration.AWNN at the moment is coordinating and uniting all the resources and will go together with all to address the suffering of animals.AWNN will be coordinating with all and will be mobilizing its available resource as much as possible for earthquake relief intervention for needy animals and also calls for the interested to contribute from their side for the cause.,"Animal sheltering, rescue, response. ",http://www.awnnepal.org/,https://www.facebook.com/pages/Animal-Welfare-Network-Nepal-AWNN/323088921077628,NA,,"http://awnnepal.org/awnn-earthquake/
https://www.facebook.com/permalink.php?story_fbid=838662646186917&id=323088921077628"
Aquaplus,,,Corporation,USA,WASH,,,,,Providing water purification systems,,http://aquaplusco.com/,NA,NA,,http://humanitariannews.org/20150426/christian-aid-response-nepal-earthquake
Arche noVa,,,NGO - International,Germany,WASH,,,,,Two arche noVa employees are currently in the disaster area. Project engineer Friedrich Machein and engineer Konrad Menzel are investigating the need together with other international humanitarian organizations. Altogether six drinking water treatment plants are available. Each plant can produce 500 liters of drinking water per day.,,https://arche-nova.org/en,https://www.facebook.com/archenova.ev,https://twitter.com/ArcheNova,,https://arche-nova.org/en/project-news/arche-nova-started-emergency-relief-after-earthquake-nepal
ARRL,,,NGO - International,USA,Telecom,,,,,"As of May 3,any American planning to go to Nepal to operate or donate any radio equipment to the response efforts, please call the ARRL and visit with Emergency Preparedness Manager Mike Corey, KI1U first: http://www.arrl.com

(29 Apr) The ARRL in the US is working closely with amateurs in Nepal to identify equipment needed for the relief effort but are facing transportation challenges. ",,,,,,"http://www.arrl.org/news/view/nepal-grants-operating-permission-call-signs-to-visiting-hams-as-earthquake-recovery-continues?utm_content=buffer7c09b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
HumanityRoad SitRep"
Ashoka,,,NGO - International,USA,Funding,,,,,Ashoka is an investment network of social entrepeneurs. Status of their response unknown.,,http://ashoka.org,https://www.facebook.com/AshokaOrg,https://twitter.com/ashoka,https://www.ashoka.org/donate,
Ashram Orphanage,,,NGO - Local,Nepal,Protection,,,,,"As of Apr 27, Ashram Orphanage (coordinates: 27.684744,85.285492) Ashram staff report 100 children in need of water, food and shelter after severe damage to orphanage. (Source: email to HumanityRoad)",,www.auronepal.net,,,,HumanityRoad SitRep
Asia Pacific Alliance for Disaster Management,,A-PAD,NGO - International,International,Assessments,Early Recovery,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://apadm.org,,,,
Asian Development Bank,,ADB,Development Bank,International,Funding,,,,,Provide $3 Million for Immediate Relief and $200 Million For Rehabilitation have sent a group of experts to assist Nepal in assessing impacts of the tragic earthquake to its economy and to identify financial needs. ,$3 Million for Immediate Relief $200 Million For Rehabilitation,http://www.adb.org/,https://www.facebook.com/AsianDevBank,https://twitter.com/adb_hq,,http://www.adb.org/news/nepal-earthquake-adb-provide-3-million-immediate-relief-and-200-million-rehabilitation
Assessment Capacities Project,,ACAPS,NGO - International,International,Telecom,Assessments,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Association for International Solidarity in Asia,,ASIA,NGO - International,Italy,Health,,,,,"ASIA is in the field organizing first aid programs for children, families and monks.",,http://www.adoptibet.org/wp/en/emergency/,https://www.facebook.com/ngo.ASIA,https://twitter.com/asiaonlus,http://www.adoptibet.org/wp/en/,http://www.fundsforngos.org/developing-countries-2/nepal/list-of-international-donors-supporting-relief-work-for-victims-of-the-nepal-earthquake-2/
Association of Family Forestry Owners Nepal,,AFFON,NGO - Local,Nepal,Early Recovery,,,,,"A small team of Green Foundation Nepal, the Federation of Community Forestry Users Nepal (FECOFUN) and Association of Family Forestry Owners Nepal (AFFON) went to the Shankhu, northern part of the Kathmandu City this week. Currently raising funds for distribution of tents and blankets.",,http://fecofun.org.np/,https://www.facebook.com/fecofun,NA,http://www.youcaring.com/emergency-fundraiser/help-green-foundation-nepal-deliver-community-relief/346610,https://www.linkedin.com/pulse/help-green-foundation-nepal-deliver-community-relief-thorsten-arndt
Association of Nepalis in Minnesota,,AMNM,NGO - International,USA,Funding,,,,,"So far we are proud to have raised over $55,000.00. ANMN will be distributing portion of raised funds to American Red Cross and remaining to other humanitarian organizations supporting earthquake victims in Nepal. In the upcoming days, we will be defining the criteria to select other organizations to distribute the funds. ",Fundraising to be redirected only. No activity on the ground. USA Red Cross identified as key recipient of all monies.,http://www.anmn.org,https://www.facebook.com/AssociationOfNepaleseInMinnesota,NA,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=VlSVuhXSlzRAo2qZnZ0sRMlKm8pB08IQpkVCs-OrT03-Ch58MrKp-v0VFm8&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e,http://www.startribune.com/local/301315051.html
Association of Youth Organizations Nepal,,AYON,NGO - Local,Nepal,Nutrition,Shelter & NFI,,,,"Local youth, delivering food, medical, supplies primarily to remote areas. Most current updates on their Facebook page. ",Unknown,http://www.ayon.org/,https://www.facebook.com/AyonNepal,https://twitter.com/AyonNepal,http://www.ayon.org/index.php/component/content/article/14-ayon/about-us/48-donate-us,
ASYA SAR/KYM,,,NGO - International,Turkey,Search & Rescue,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. 

They have a moblie clinic in Kathmandu (from May 2nd, Twitter)",,http://asya.kimseyokmu.org.tr,,http://twitter.com/kym_en,,
"Aythos, Inc.",,,NGO - International,USA,Health,,,,,"Aythos is already present in Nepal, where they run fruit tree planting and beekeeping projects. Two extra team members (one of them with EMT experience) have arrived in Nepal, where they will assist with aid. The group's efforts will be concentrated in villages in Helambu/Sindhupalchok. ",,http://www.aythos.org/#!nepal-earthquake-relief/c1zti,https://www.facebook.com/aythos,https://twitter.com/Aythos,http://www.aythos.org/#!nepal-earthquake-relief/c1zti,https://www.facebook.com/aythos/photos/a.413376415374965.89891.410151075697499/872625989450003/?type=1&theater
