organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_contact_person,project_contact_position,project_contact_email,project_contact_phone_number,project_website,date_provided,date_updated,status,donors
GlobalGiving,GG-NP-08-10108,2056.0,"",Free Bonded Nepali Girls,"In rural Nepal, impoverished families have been selling their daughters to be bonded servants. The Nepal Youth Foundation (NYF) provides the family with a goat or piglet as substitution for the daughter's wages, brings the girl home and ensures her access to education. Now that NYF has freed more than12,000 girls and has nearly eradicated the bonding practice, it has shifted its focus to empowering girls to be leaders of the movement against bonding.<br><br> In rural Nepal, impoverished families traditionally sold their daughters into bonded servitude every year to supplement the family's scant income. Without the $50 to $70 they receive for their daughters' labor, some families couldn't afford the food to feed the remaining children at home. These girls are often taken far from their villages to work in distant cities. They are typically forced to work long hours, are mistreated and sexually abused, and some disappear forever.<br><br> NYF rescues indentured girls, returns them to their families, gives each family a piglet or goat to replace the income from selling their daughter, and ensures the girls have the opportunity for an education. Since nearly eradicating the bonding practice, NYF has shifted its focus to empowering girls to be leaders of the movement against bonding. NYF provides training in political activism and human rights to carry out an awareness campaign. Former bonded servants are now strong leaders.<br><br> Not only have former bonded servants achieved personal freedom and dignity, they are creating lasting social change and future educational and professional opportunities for their sisters. The Nepal Youth Foundation trains these girls to speak out against bonding by effectively organizing themselves to perform street plays about the abuses they suffered, organize marches, create and distribute anti-slavery posters, host a radio show, and hold press conferences with international media.","","",2008-04-28,2015-11-13,"",Protection,"",133272,Nepal Youth Foundation (NYF),"","","","",Nepal>Mid-Western,Janis Olson,Executive Director,"jolson@nepalyouthfoundation.org,tparker@nepalyouthfoundation.org,james@nepalyouthfoundation.org",415.331.8585,http://globalgiving.org/2056,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-09-10080,2740.0,"",Provide Education to 20 Disabled Nepali Children,"More than 90% of the world's blind people live in developing countries, of these, more than 600,000 live in Nepal.  And, a great number of these are children who, without special help, have very little chance to live full and satisfying lives. Nepal Youth Foundation's Scholarships for Disabled Students help blind, deaf, and physically disabled students get an education, learn to take care of themselves, and become productive members of their society.<br><br> In Nepal, disabled children are often treated as cast-offs or considered punishment for ""sins"" of the family.  There are very few government programs specifically designed to provide care for the disabled. Because most Nepali schools lack the facilities for disabled students and transportation is difficult for them, these children often don't get the opportunity to attend school.<br><br> NYF provides educational scholarships to blind, deaf, and physically disabled children who could not otherwise go to school.  In addition to basic education, housing and transportation to the schools is also provided. These students are also taught special skills for independent living and given access to vocational training.<br><br> The disabled children who are awarded these scholarships learn to take care of themselves, and learn to obtain employment. Without this help, most would spend their lives at home all day, dependent on their families.","","",2009-07-29,2015-11-13,"","Education,Protection","",1557,Nepal Youth Foundation (NYF),"","","","",Nepal>Central,Janis Olson,Executive Director,"jolson@nepalyouthfoundation.org,tparker@nepalyouthfoundation.org,jfrost@nepalyouthfoundation.org",415-331-8585,http://globalgiving.org/2740,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-09-10081,4319.0,"",Train and Activate Inspired Leaders in Nepal,"This project directly results in poverty reduction, increased literacy, protection for children, rights for women, livelihood for families, reduction in HIV/AIDS.  This project provides leadership training and financial resources for 125 trainers nationally to train 5000 people in leadership resulting in 3000 projects and 1000 Teaching Learning Communities that promote community development and the building of the nation.<br><br> Nepal is in transition stage with a nationwide need to train leaders. The training will enable leaders to address goals such as to eradicate extreme poverty, achieve higher literacy, promote gender equality, reduce mortality. A particular problem, is youth who are not in school and many of them on the streets.<br><br> Train leaders from all districts of Nepal, who will conduct training in their local areas for project leaders and new trainers. Combine training with small micro grants to project leaders in activated communities. Provide follow-up and support. Partner with Jaycees, Rotary, business associations and schools to provide programs to reach unschooled youth.<br><br> Training that empowers 5000ncommunity leaders will ensure positive social development across the nation. Nepali trainers are responding to requests from Bangladesh and India for training there. Nepal may become the Social Artistry training hub for SE Asia.","","",2009-11-24,2015-11-13,"",Economic Recovery and Development,"",1629,The Jean Houston Foundation,"","","","",Nepal>Central,Peggy Dean,Executive Director,peggy@jeanhoustonfoundation.org,214-287-6400,http://globalgiving.org/4319,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-09-10109,2741.0,"",Rescue Girls from Bonded Servitude,"In rural Nepal, impoverished families have been selling their daughters to be bonded servants. The Nepal Youth Foundation (NYF) provides the family with a goat or piglet as substitution for the daughter's wages, brings the girl home and ensures her access to education.<br><br>Now that NYF has freed over 12,000 girls and has nearly eradicated the bonding practice, it has shifted its focus to empowering girls to be activists against bonding and providing vocational training followed by job placement.<br><br> In rural Nepal, impoverished families traditionally sold their daughters into bonded servitude every year to supplement the family's scant income. Without the $50 to $70 they receive for their daughters' labor, some families couldn't afford the food to feed the remaining children at home.  These girls are often taken far from their villages to work in distant cities.  They are typically forced to work long hours, are mistreated and sexually abused, and some disappear forever.<br><br> NYF rescues indentured girls, returns them to their families, gives each family a piglet or goat to replace the income from selling their daughter, and ensures the girls have the opportunity for an education. <br><br>Since nearly eradicating the bonding practice, NYF has shifted its focus to empowering girls to be leaders of the movement against bonding. NYF provides training in political activism and human rights to carry out an awareness campaign. Former bonded servants are now strong leaders.<br><br> Not only have former bonded servants achieved personal freedom and dignity, they are creating lasting social change and future educational and professional opportunities for their sisters.<br><br>The Nepal Youth Foundation trains these girls to speak out against bonding by effectively organizing themselves to perform street plays about the abuses they suffered, organize marches, create and distribute anti-slavery posters, host a radio show, and hold press conferences with international media.","","",2009-05-13,2015-11-13,"","Agriculture,Education,Protection","",17354,Nepal Youth Foundation (NYF),"","","","",Nepal>Mid-Western,Janis Olson,Executive Director,"jolson@nepalyouthfoundation.org,tparker@nepalyouthfoundation.org,jfrost@nepalyouthfoundation.org",415-331-8585,http://globalgiving.org/2741,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10082,4522.0,"","Build Bridges for Health, Education & Hope - Nepal","VillageTech Solutions funds a popular, all-weather ""gondola"" bridge in Nepal. This 80 meter bridge will move 40 to 80 adults (80 to 160 children) per hour, safely each way across the river.<br><br> 60-65 students and 50-60 adults will use the Maruwa Gairi WireBridge daily. Limited access denies many children an education, discourages proper health care, and increases the cost of goods. To cross more than 10 meters, there have been only two alternatives: an extremely dangerous cable 'tween' where a makeshift trapeze or wooden box hangs from a pulley that often crushes the user's fingers, or an expensive suspended walking bridge.<br><br> Since 1998 34 gondola-like WireBridges have been built over dangerous rivers in Nepal at a quarter the cost of suspended bridges. Bridge #35 will start shortly -- was funded in December. Only two to four months are needed to complete each bridge.<br><br> In more than 1,000 Nepalese communities, schoolchildren and others want ""to reach the other side"" safely. Village children and adults have used the existing 34 WireBridges more than 3.2 million times without accident. Bridges build better lives.","","",2010-02-02,2015-11-13,"",Other,"",1182,VillageTech Solutions (VTS),"","","","",Nepal>Central,"","",david@villagetechsolutions.org,650-380-5008,http://globalgiving.org/4522,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10083,4659.0,foodsecurity_site,Stop Making Paper Orphans of Nepal Children,"Every year hundreds of Nepali children are turned into ""paper orphans"" just because their parents cannot care for them and work at the same time. One of the only affordable day-care centers in Kathmandu, the Orchid Garden, has the solution to this problem. A safe, affordable place for children to stay and learn while poor parents work to just get that day's meal. Perhaps as many as 60% of Nepal's ""orphans"" are economic orphans and should not be in institutions, but in day care. (source UNICEF)<br><br> Working-class families lack the community support and financial security to leave their children in a safe environment where children are supervised, fed and educated. Instead, these toddlers are left at orphanages or are tied to furniture and left at home alone so that their parents can make barely enough money to feed their family.<br><br> Orchid Garden Nepal provides low cost and safe daycare for children under five years old as well as a newly added classroom for grade one. At our growing facility, children get a healthy meal, room to play and plenty of tender, love, care. We also sponsor 67 children to go to elementary school after preschool. There are 104 children at OGN every day. They study, they get good food. Their parents can work and know their children are safe and getting a head start on an education. Everyone wins.<br><br> With poor working families free to pursue work without worrying about their children's care, both mother and father can earn more wages and improve the financial standing of the family. The children are getting a good head start education program and meals, so they will be ready to compete in school and succeed.","","",2010-05-29,2015-11-13,"","Education,Food Aid","",2563,The Mountain Fund,"","","","",Nepal>Central,"","",mtnfund@mountainfund.org,505-830-9808 Option2,http://globalgiving.org/4659,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10084,5810.0,"",Safe Water for Healthy Nepal,"Safe Water program is targeted towards reducing occurrence of waterborne diseases and finally eliminating it from communities to make healthy-wealthy Nepal through promotion of low cost technologies.<br><br> Waterborne diseases are the leading cause of deaths in the world. 1.8 million children under the age of 14 die of diarrhea every year (4900/day). 98% of the waterborne disease victims are from the developing countries. Nepal is no exception being one of the developing countries with 10,500 deaths on average per year due to diarrhea. Hence the elimination of the waterborne diseases is of utmost importance to make the people healthy.<br><br> Orientation and awareness programs on safe drinking water targeting the communities that lack knowledge and access to technologies.
Promotion of different technologies for safe drinking water.
Develop entrepreneurs for social welfare.<br><br> Everyone will fetch for supply of safe water in their daily life through multiple choices of technologies available in the communities. The waterborne diseases will be eliminated forever from communities and healthy people will make a wealthy nation.","","",2010-12-31,2015-11-13,"",Water Sanitation and Hygiene,"",1148,"",Environmental Camps for Conservation Awareness,"","","",Nepal>Central,"","",prachets@mos.com.np,"+977-1-5553870, 5554",http://globalgiving.org/5810,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10085,6042.0,"",Rescue Ten Needy Children in Nepal with HIV/AIDS,"The New Life Center provides excellent lifesaving treatment to children with HIV/AIDS while training their parents in hygiene and nutritious food, which lets HIV-infected people live fulfilling lives.<br><br> HIV/AIDS is a rapidly growing problem in Nepal, fueled by ignorance about HIV prevention and brutal discrimination against people with AIDS. Many children with HIV are forced to leave their schools, and infected women are often abandoned by their husbands. Because of this stigma, many people avoid being tested and hide their symptoms of AIDS for as long as possible. According to a U.N. study, more than 80% of Nepalis with HIV have not been diagnosed.<br><br> The New Life Center provides excellent lifesaving treatment to children with HIV/AIDS while teaching their caretakers to live hygienically and cook nutritious meals. This is the only facility in Nepal that treats HIV/AIDS with a holistic approach.<br><br> The training in nutrition and hygiene dramatically reduces the risk of acquiring the illnesses that make HIV develop into AIDS, and lets infected people lead fulfilling lives. Children with full-blown AIDS become able to have full happy childhoods.","","",2010-08-04,2015-11-13,"",Health,"",1006,Nepal Youth Foundation (NYF),"","","","",Nepal>Central,"","","info@nyof.org,tparker@nepalyouthfoundation.org,jfrost@nepalyouthfoundation.org",1-415-331-8585,http://globalgiving.org/6042,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10086,6231.0,"",Empower Nepali Survivors of Human Trafficking,"Coordinated almost entirely by survivors themselves, this project provides paralegal training and stipends for human trafficking survivors to pursue higher education and internship opportunities.<br><br> An estimated 5,000 to 12,000 Nepali women and girls are trafficked abroad every year, while an estimated 25,000-50,000 are trapped in Kathmandu's internal sex industry. Thousands of other women, including minors, rely on sex work to finance their educations. A growing number of victims have education but are unable to develop careers due to their dire economic situations; so, they are forced into sexual exploitation. This project benefits countless victims of trafficking and sexual exploitation.<br><br> SASANE empowers human trafficking survivors and women seeking to escape sexual exploitation by training them to become certified paralegals, providing these women with economic independence and the ability to assist other survivors. Stipends will provide survivors with the opportunity to pursue higher education and internships, which will enable survivors, especially vulnerable minors, to resist re-trafficking and sexual exploitation.<br><br> SASANE has provided paralegal training to 130 human trafficking survivors. SASANE's paralegals are located in 25 police stations across the Kathmandu Valley, providing compassion to victims and access to justice. 
Funds raised through globalgiving will support and expand SASANE's paralegal training across Nepal, and provide stipends for survivors to pursue higher education or partake in internships, which will empower these women to find employment opportunities.","","",2010-09-01,2015-11-13,"","Education,Protection","",3134,"",SASANE (Samrakshak Samuha Nepal),"","","",Nepal>Central,"","",alexandra.l.robinson@gmail.com,+977 1 2291341,http://globalgiving.org/6231,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10087,6546.0,"",Mirge School Environment Improvement Program,"We aim to improve basic need of remote community school through developing basic infrastructure like building classroom, library, safe sanitation etc to secure the basic right of a student for study.<br><br> Students studying in rural community schools of Nepal lacks adequate facilities like safe sanitation, safe drinking water, inefficient classrooms spaces, playgrounds, learning resources and educational materials etc. They have very limited resources to improve the condition of the school. This project will directly benefits more than 5,000 students through improving the condition and environment of the school so that the student gets better education in an improved and well facilitated school.<br><br> ECCA facilitates the community and school to develop vision for an improved environment condition in school. This will positive impact on the quality of teaching and learning and provides same educational opportunities available in bigger cities.<br><br> The project will improve educational outcomes for students and work satisfaction for teachers. It will also increase skills and knowledge about sustainable living practices that impact on mental and physical health throughout the community.","","",2010-10-31,2015-11-13,"",Education,"",11367,"",Environmental Camps for Conservation Awareness,"","","",Nepal>Central,"","",prachets@mos.com.np,977-1-5553870,http://globalgiving.org/6546,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-10-10089,6724.0,"",Home and Community for Orphans in Nepal,"This project assists orphanages and children's homes to provide orphans and abandoned children with a family, a home, education, and  status in the community. (A family is a trained ""mother,"" up to 8-10 siblings and community grandparents.)<br><br> Nepal's appalling number of 974,000 orphan and abandoned children are being cared for in the most unfortunate of circumstances. Untrained caregivers, often disenfranchised themselves, are unable to provide adequate care for the children, many of whom develop attachment disorder, become developmentally delayed, physically disabled or mentally compromised. Upon leaving the home, they feel rootless, often lacking the social & organizational skills required to thrive in the outside world.<br><br> Children growing up in a family setting are healthier and developmentally more advanced. ""Mothers"" are trained to encourage the development of self esteem and value in their children. Close community relationships nurture psychosocial development.<br><br> Children who have grown up in a family will be able to form healthy bonds and relationships with family, friends and community. Orphans and the caregivers, who are often disenfranchised widows, will enjoy improved social status.","","",2010-11-29,2015-11-13,"",Safety nets,"",13827,"Global Family Village, Inc","","","","",Nepal>Central,"","",freema@sbcglobal.net,510-525-3535,http://globalgiving.org/6724,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-10088,6643.0,"","""Support-A-Child"" Help Child Go To School & Study","This project will support 400 students every year to acquire basic educational materials (Books, Copy, Stationary, Dress etc) for continuing their study and to be educated.<br><br> About 30% of primary age children are still not enrolled in school because of their parent's poor financial situation and inability to purchase the necessary educational materials. Even from those who are enrolled, a significant proportion drop out of school due to lack of educational materials. This project will address more than 400 families towards continuing their children's education.<br><br> The project provides direct support to individual student who need financial support to continue his/her study & acquire educational materials. The basic education material is provided for a year which encourages the student to continue school.<br><br> The project will support 400 families to educate their children. It helps to decrease drop out rate and encourages student to build their brighter future. The project protects the child's right to be educated and supports in achieving MDGs.","","",2011-03-04,2015-11-13,"",Education,"",2680,"",Environmental Camps for Conservation Awareness,"","","",Nepal>Central,"","",prachets@mos.com.np,-5552894,http://globalgiving.org/6643,2014-11-25,2015-01-08,active,Private donations
