"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
Child Protection,Dhading,524 2 05 30,Jiwanpur,524 2 05 30 5 048,Psychosocial support,,,327,,,
Child Protection,Dhading,524 2 05 30,Aginchok,524 2 05 30 5 006,Psychosocial support,,,190,,,
Child Protection,Dhading,524 2 05 30,Darkha,524 2 05 30 5 001,Psychosocial support,,,310,,,
Child Protection,Dhading,524 2 05 30,Khalte,524 2 05 30 5 032,Psychosocial support,,,657,,,
Child Protection,Dhading,524 2 05 30,Katunje,524 1 03 13 5 038,Psychosocial support,,,738,,,
Child Protection,Dhading,524 2 05 30,Kumpur,524 2 05 30 5 033,Psychosocial support,,,1039,,,
Child Protection,Dhading,524 2 05 30,Muralibhanjyang,524 2 05 30 5 025,Psychosocial support,,,16,,,
Child Protection,Dhading,524 2 05 30,Gajuri,524 2 05 30 5 043,Psychosocial support,,,17,,,
Child Protection,Dhading,524 2 05 30,Naubise,524 2 05 30 5 049,Psychosocial support,,,17,,,
Child Protection,Dhading,524 2 05 30,Salang,524 2 05 30 5 028,Psychosocial support,,,17,,,
Child Protection,Dhading,524 2 05 30,Satyadevi,524 2 05 30 5 004,Psychosocial support,,,18,,,
Child Protection,Dhading,524 2 05 30,Mulpani,524 1 02 10 5 012,Psychosocial support,,,19,,,
Child Protection,Dhading,524 2 05 30,Benighat,524 2 05 30 5 037,Psychosocial support,,,19,,,
Child Protection,Dhading,524 2 05 30,Chainpur,524 1 02 09 5 032,Psychosocial support,,,19,,,
Child Protection,Dhading,524 2 05 30,Gumdi,524 2 05 30 5 011,Psychosocial support,,,19,,,
Child Protection,Dhading,524 2 05 30,Semdhung,524 2 05 30 5 019,Psychosocial support,,,20,,,
Child Protection,Dhading,524 2 05 30,Thakre,524 2 05 30 5 050,Psychosocial support,,,21,,,
Child Protection,Dhading,524 2 05 30,, ,Psychosocial support,,,244,,,
Child Protection,Dhading,524 2 05 30,, ,Identification of Orphan Children,,,76,,,
Child Protection,Dhading,524 2 05 30,,,Unaccompanied and Separated Children identified,,,60,,,
Child Protection,Dolakha,524 2 04 22,Lamidanda,524 1 03 12 5 004,Establishment of child friendly spaces,,1,102,,,
Child Protection,Dolakha,524 2 04 22,Boch,524 2 04 22 5 028,Establishment of child friendly spaces,,1,964,,,
Child Protection,Dolakha,524 2 04 22,Lakuridanda,524 2 04 22 5 030,Establishment of child friendly spaces,,1,1001,,,
Child Protection,Dolakha,524 2 04 22,Suspa Kshyamawati,524 2 04 22 5 033,Establishment of child friendly spaces,,1,1126,,,
Child Protection,Dolakha,524 2 04 22,Lapilang,524 2 04 22 5 036,Establishment of child friendly spaces,,1,562,,,
Child Protection,Dolakha,524 2 04 22,Sundrawati,524 2 04 22 5 037,Establishment of child friendly spaces,,1,1726,,,
Child Protection,Dolakha,524 2 04 22,Sunkhani,524 2 04 22 5 038,Establishment of child friendly spaces,,1,725,,,
Child Protection,Dolakha,524 2 04 22,Katakuti,524 2 04 22 5 045,Establishment of child friendly spaces,,1,299,,,
Child Protection,Dolakha,524 2 04 22,Magapauwa,524 2 04 22 5 046,Establishment of child friendly spaces,,1,146,,,
Child Protection,Dolakha,524 2 04 22,Sailungeshwar,524 2 04 22 5 050,Establishment of child friendly spaces,,1,230,,,
Child Protection,Dolakha,524 2 04 22,Lamabagar,524 2 04 22 5 027,Psychosocial support,,,12,,,
Child Protection,Dolakha,524 2 04 22,, ,Psychosocial support,,,24,,,
Child Protection,Dolakha,524 2 04 22,Sundrawati,524 2 04 22 5 037,Psychosocial support,,,91,,,
Child Protection,Dolakha,524 2 04 22,Lapilang,524 2 04 22 5 036,Psychosocial support,,,138,,,
Child Protection,Dolakha,524 2 04 22,Boch,524 2 04 22 5 028,Psychosocial support,,,158,,,
Child Protection,Dolakha,524 2 04 22,Lakuridanda,524 2 04 22 5 030,Psychosocial support,,,343,,,
Child Protection,Dolakha,524 2 04 22,Bhimeswor Municipality,524 2 04 22 3 001,Psychosocial support,,,60,,,
Child Protection,Dolakha,524 2 04 22,Bhusaphedi,524 2 04 22 5 047,Psychosocial support,,,258,,,
Child Protection,Dolakha,524 2 04 22,Namdru,524 2 04 22 5 005,Psychosocial support,,,158,,,
Child Protection,Dolakha,524 2 04 22,Magapauwa,524 2 04 22 5 046,Psychosocial support,,,630,,,
Child Protection,Dolakha,524 2 04 22,Sunkhani,524 2 04 22 5 038,Psychosocial support,,,457,,,
Child Protection,Dolakha,524 2 04 22,Jhule,524 2 04 22 5 017,Psychosocial support,,,604,,,
Child Protection,Dolakha,524 2 04 22,Suspa Kshyamawati,524 2 04 22 5 033,Psychosocial support,,,612,,,
Child Protection,Dolakha,524 2 04 22,Lamidanda,524 1 03 12 5 004,Psychosocial support,,,372,,,
Child Protection,Dolakha,524 2 04 22,Namdru,524 2 04 22 5 011,Psychosocial support,,,1037,,,
Child Protection,Dolakha,524 2 04 22,Kabre,524 2 04 22 5 011,Psychosocial support,,,985,,,
Child Protection,Dolakha,524 2 04 22,Sundrawati,524 2 04 22 5 037,Psychosocial support,,,1067,,,
Child Protection,Dolakha,524 2 04 22,Phasku,524 2 04 22 5 048,Psychosocial support,,,200,,,
Child Protection,Dolakha,524 2 04 22,, ,Identification of Orphan Children,,,10,,,
Child Protection,Gorkha,526 3 07 36,, ,Establishment of child friendly spaces,,5,,,,
Child Protection,Gorkha,524 3 07 36,Prithbinarayan Municipality,524 3 07 36 3 001,Establishment of child friendly spaces,,,318,,,
Child Protection,Gorkha,524 3 07 36,Nataeshwar,524 3 07 36 5 001,Establishment of child friendly spaces,,1, -   ,,,
Child Protection,Gorkha,524 3 07 36,Gaikhur,524 3 07 36 5 029,Establishment of child friendly spaces,,1,137,,,
Child Protection,Gorkha,524 3 07 36,Muchchok,524 3 07 36 5 036,Establishment of child friendly spaces,,,59,,,
Child Protection,Gorkha,524 3 07 36,Aruchanaute,524 3 07 36 5 052,Establishment of child friendly spaces,,1,136,,,
Child Protection,Gorkha,524 3 07 36,Arupokhari,524 3 07 36 5 053,Establishment of child friendly spaces,,2,422,,,
Child Protection,Gorkha,524 3 07 36,Kerabari,524 1 02 05 5 039,Psychosocial support,,,1,,,
Child Protection,Gorkha,524 3 07 36,Thalajung,524 3 07 36 5 024,Psychosocial support,,,3,,,
Child Protection,Gorkha,524 3 07 36,Jaubari,524 3 07 36 5 021,Psychosocial support,,,8,,,
Child Protection,Gorkha,524 3 07 36,Amppipal,524 3 07 36 5 018,Psychosocial support,,,11,,,
Child Protection,Gorkha,524 3 07 36,Makaising,524 3 07 36 5 014,Psychosocial support,,,16,,,
Child Protection,Gorkha,524 3 07 36,Bungkot,524 3 07 36 5 005,Psychosocial support,,,24,,,
Child Protection,Gorkha,524 3 07 36,Phujel,524 3 07 36 5 008,Psychosocial support,,,54,,,
Child Protection,Gorkha,524 3 07 36,Ghairung,524 3 07 36 5 013,Psychosocial support,,,70,,,
Child Protection,Gorkha,524 3 07 36,Tarkukot,524 3 07 36 5 063,Psychosocial support,,,84,,,
Child Protection,Gorkha,524 3 07 36,Virkot,524 3 07 36 5 025,Psychosocial support,,,113,,,
Child Protection,Gorkha,524 3 07 36,Harmi,524 3 07 36 5 020,Psychosocial support,,,128,,,
Child Protection,Gorkha,524 3 07 36,Manakamana,524 3 07 36 5 015,Psychosocial support,,,297,,,
Child Protection,Gorkha,524 3 07 36,Ghyalchok,524 3 07 36 5 012,Psychosocial support,,,299,,,
Child Protection,Gorkha,524 3 07 36,Swara,524 3 07 36 5 062,Psychosocial support,,,196,,,
Child Protection,Gorkha,524 3 07 36,Prithbinarayan Municipality,524 3 07 36 3 001,Psychosocial support,,,189,,,
Child Protection,Gorkha,524 3 07 36,Simjung,524 3 07 36 5 035,Psychosocial support,,,552,,,
Child Protection,Gorkha,524 3 07 36,Aruchanaute,524 3 07 36 5 052,Psychosocial support,,,1184,,,
Child Protection,Gorkha,524 3 07 36,Asrang,524 2 05 25 5 014,Psychosocial support,,,21,,,
Child Protection,Gorkha,524 3 07 36,Dhuwakot,524 2 05 30 5 007,Psychosocial support,,,21,,,
Child Protection,Gorkha,524 3 07 36,Taklung,524 3 07 36 5 016,Psychosocial support,,,21,,,
Child Protection,Gorkha,524 3 07 36,Panchkhuwa Deurali,524 3 07 36 5 056,Psychosocial support,,,21,,,
Child Protection,Gorkha,524 3 07 36,Pandrung,524 3 07 36 5 058,Psychosocial support,,,23,,,
Child Protection,Gorkha,524 3 07 36,Bakrang,524 3 07 36 5 010,Psychosocial support,,,23,,,
Child Protection,Gorkha,524 3 07 36,Muchchok,524 3 07 36 5 036,Psychosocial support,,,27,,,
Child Protection,Gorkha,524 3 07 36,Taple,524 3 07 36 5 009,Psychosocial support,,,31,,,
Child Protection,Gorkha,525 3 07 36,Harmi,524 3 07 36 5 020,Psychosocial support,,,70,,,
Child Protection,Gorkha,524 3 07 36,, ,Psychosocial support,,,144,,,
Child Protection,Gorkha,526 3 07 36,Kharibot,524 3 07 36 5 023,Psychosocial support,,,150,,,
Child Protection,Gorkha,524 3 07 36,Darbung,524 3 07 36 5 006,Identification of Orphan Children,,,1,,,
Child Protection,Gorkha,524 3 07 36,Deurali,524 1 02 10 5 009,Identification of Orphan Children,,,1,,,
Child Protection,Gorkha,524 3 07 36,Dhuwakot,524 2 05 30 5 007,Identification of Orphan Children,,,1,,,
Child Protection,Gorkha,524 3 07 36,Ghairung,524 3 07 36 5 013,Identification of Orphan Children,,,1,,,
Child Protection,Gorkha,524 3 07 36,Ghyachok,524 3 07 36 5 066,Identification of Orphan Children,,,1,,,
Child Protection,Gorkha,524 3 07 36,Bungkot,524 3 07 36 5 005,Identification of Orphan Children,,,2,,,
Child Protection,Gorkha,524 3 07 36,Swara,524 3 07 36 5 062,Identification of Orphan Children,,,4,,,
Child Protection,Gorkha,524 3 07 36,Muchchok,524 3 07 36 5 036,Identification of Orphan Children,,,6,,,
Child Protection,Gorkha,524 3 07 36,, ,Identification of Orphan Children,,,13,,,
Child Protection,Gorkha,524 3 07 36,,,Unaccompanied and Separated Children identified,,,1,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Banepa Municipality,524 2 05 24 3 003,Establishment of child friendly spaces,,1,20,,,
Child Protection,Kabhrepalanchok,524 2 05 24,, ,Establishment of child friendly spaces,,1,72,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Establishment of child friendly spaces,,2,190,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Panauti Municipality,524 2 05 24 3 002,Establishment of child friendly spaces,,2,266,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Kuruwas Chapakhori,524 2 05 24 5 012,Establishment of child friendly spaces,,1,32,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Kanpur Kalapani,524 2 05 24 5 013,Establishment of child friendly spaces,,,56,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Methinkot,524 2 05 24 5 016,Establishment of child friendly spaces,,1,45,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Budhakhani,524 2 05 24 5 027,Establishment of child friendly spaces,,1,27,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Ghartichhap,524 2 05 24 5 028,Establishment of child friendly spaces,,1,26,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Mahadevtar,524 2 05 24 5 031,Establishment of child friendly spaces,,1,75,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Establishment of child friendly spaces,,2,120,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Tukuchanala,524 2 05 24 5 057,Establishment of child friendly spaces,,1,67,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Baluwa Pati Naldhun,524 2 05 24 5 059,Establishment of child friendly spaces,,,85,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Establishment of child friendly spaces,,1,218,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Ryale Bihawar,524 2 05 24 5 064,Establishment of child friendly spaces,,,183,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Establishment of child friendly spaces,,1,89,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Devitar,524 2 05 24 5 069,Establishment of child friendly spaces,,1,49,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Establishment of child friendly spaces,,2,262,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Mahadevsthan Mandan,524 2 05 24 5 072,Establishment of child friendly spaces,,1,45,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Bhumlutar,524 2 05 24 5 075,Establishment of child friendly spaces,,1,26,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Koshidekha,524 2 05 24 5 080,Establishment of child friendly spaces,,2,65,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Saping,524 2 05 24 5 084,Establishment of child friendly spaces,,1,88,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Simthali,524 2 05 24 5 087,Establishment of child friendly spaces,,1,18,,,
Child Protection,Kabhrepalanchok,524 2 05 24,,,Psychosocial support,,,14,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Kanpur Kalapani,524 2 05 24 5 013,Psychosocial support,,,8,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Mahadevsthan Mandan,524 2 05 24 5 072,Psychosocial support,,,40,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Ryale Bihawar,524 2 05 24 5 064,Psychosocial support,,,11,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Baluwa Pati Naldhun,524 2 05 24 5 059,Psychosocial support,,,24,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Psychosocial support,,,25,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Psychosocial support,,,22,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Psychosocial support,,,27,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Psychosocial support,,,34,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Banepa Municipality,524 2 05 24 3 003,Psychosocial support,,,62,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Psychosocial support,,,43,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Psychosocial support,,,44,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Sangkhupatichaur,524 2 05 24 5 018,Psychosocial support,,,63,,,
Child Protection,Kabhrepalanchok,524 2 05 24,, ,Psychosocial support,,,427,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Panauti Municipality,524 2 05 24 3 002,Psychosocial support,,,126,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Nasikasthan Sanga,524 2 05 24 5 056,Psychosocial support,,,229,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Saping,524 2 05 24 5 084,Psychosocial support,,,584,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Patlekhet,524 2 05 24 5 040,Psychosocial support,,,12,,,
Child Protection,Kabhrepalanchok,524 2 05 24,Ugrachandinala,524 2 05 24 5 055,Psychosocial support,,,15,,,
Child Protection,Kabhrepalanchok,524 2 05 24,, ,Identification of Orphan Children,,,25,,,
Child Protection,Kabhrepalanchok,524 2 05 24,,,Unaccompanied and Separated Children identified,,,2,,,
Child Protection,Kathmandu,533 2 05 27,Kathmandu Metropolitan,524 2 05 27 1 001,Establishment of child friendly spaces,,1,200,,,
Child Protection,Kathmandu,527 2 05 27,, ,Establishment of child friendly spaces,,1,,,,
Child Protection,Kathmandu,530 2 05 27,Kathmandu Metropolitan,524 2 05 27 1 001,Establishment of child friendly spaces,,1,,,,
Child Protection,Kathmandu,531 2 05 27,Pukulachhi,524 2 05 27 5 005,Establishment of child friendly spaces,,2,,,,
Child Protection,Kathmandu,525 2 05 27,, ,Establishment of child friendly spaces,, 3 ,25,,,
Child Protection,Kathmandu,524 2 05 27,Mahadevsthan,524 1 03 12 5 041,Establishment of child friendly spaces,,,103,,,
Child Protection,Kathmandu,524 2 05 27,Kathmandu Metropolitan,524 2 05 27 1 001,Establishment of child friendly spaces,,1,150,,,
Child Protection,Kathmandu,524 2 05 27,Kathmandu Metropolitan,524 2 05 27 1 001,Establishment of child friendly spaces,,5,448,,,
Child Protection,Kathmandu,524 2 05 27,Kirtipur Municipality,524 2 05 27 3 002,Establishment of child friendly spaces,,3,827,,,
Child Protection,Kathmandu,524 2 05 27,Sangkhu Bajrayogini,524 2 05 27 5 003,Establishment of child friendly spaces,,2,134,,,
Child Protection,Kathmandu,537 2 05 27,Sangkhu Suntol,524 2 05 27 5 004,Establishment of child friendly spaces,,1,42,,,
Child Protection,Kathmandu,524 2 05 27,Sangkhu Suntol,524 2 05 27 5 004,Establishment of child friendly spaces,,1,114,,,
Child Protection,Kathmandu,524 2 05 27,Thalidanchhi,524 2 05 27 5 008,Establishment of child friendly spaces,,,27,,,
Child Protection,Kathmandu,524 2 05 27,Jorpati,524 2 05 27 5 012,Establishment of child friendly spaces,, 2 ,265,,,
Child Protection,Kathmandu,524 2 05 27,Gokarneshwar,524 2 05 27 5 023,Establishment of child friendly spaces,, 1 ,95,,,
Child Protection,Kathmandu,538 2 05 27,Gongabu,524 2 05 27 5 028,Establishment of child friendly spaces,, 1 ,40,,,
Child Protection,Kathmandu,524 2 05 27,Gongabu,524 2 05 27 5 028,Establishment of child friendly spaces,, 1 ,80,,,
Child Protection,Kathmandu,524 2 05 27,Manmaijn,524 2 05 27 5 033,Establishment of child friendly spaces,, 1 ,221,,,
Child Protection,Kathmandu,524 2 05 27,Bhimdhunga,524 2 05 27 5 037,Establishment of child friendly spaces,, 2 ,170,,,
Child Protection,Kathmandu,524 2 05 27,Ramkot,524 2 05 27 5 038,Establishment of child friendly spaces,, 1 ,186,,,
Child Protection,Kathmandu,524 2 05 27,Sitapaila,524 2 05 27 5 039,Establishment of child friendly spaces,, 1 ,38,,,
Child Protection,Kathmandu,528 2 05 27,Balambu,524 2 05 27 5 045,Establishment of child friendly spaces,, 1 ,,,,
Child Protection,Kathmandu,524 2 05 27,Chhaimale,524 2 05 27 5 055,Establishment of child friendly spaces,, 1 ,119,,,
Child Protection,Kathmandu,524 2 05 27,Pukulachhi,524 2 05 27 5 005,Psychosocial support,,,52,,,
Child Protection,Kathmandu,524 2 05 27,Ramkot,524 2 05 27 5 038,Psychosocial support,,,2,,,
Child Protection,Kathmandu,524 2 05 27,Sitapaila,524 2 05 27 5 039,Psychosocial support,,,31,,,
Child Protection,Kathmandu,524 2 05 27,Manmaijn,524 2 05 27 5 033,Psychosocial support,,,18,,,
Child Protection,Kathmandu,524 2 05 27,Phutung,524 2 05 27 5 031,Psychosocial support,,,20,,,
Child Protection,Kathmandu,524 2 05 27,Sangkhu Bajrayogini,524 2 05 27 5 003,Psychosocial support,,,22,,,
Child Protection,Kathmandu,524 2 05 27,Kirtipur Municipality,524 2 05 27 3 002,Psychosocial support,,,324,,,
Child Protection,Kathmandu,524 2 05 27,Dharmasthali,524 2 05 27 5 034,Psychosocial support,,,42,,,
Child Protection,Kathmandu,524 2 05 27,Sangkhu Suntol,524 2 05 27 5 004,Psychosocial support,,,45,,,
Child Protection,Kathmandu,544 2 05 27,, ,Psychosocial support,,,148,,,
Child Protection,Kathmandu,524 2 05 27,Dakshinkali,524 2 05 27 5 054,Psychosocial support,,,235,,,
Child Protection,Kathmandu,524 2 05 27,Chhaimale,524 2 05 27 5 055,Psychosocial support,,,290,,,
Child Protection,Kathmandu,524 2 05 27,Kirtipur Municipality,524 2 05 27 3 002,Psychosocial support,,,47,,,
Child Protection,Kathmandu,524 2 05 27,Tokhachandeshwari,524 2 05 27 5 026,Psychosocial support,,,79,,,
Child Protection,Kathmandu,524 2 05 27,Alapot,524 2 05 27 5 011,Psychosocial support,,,70,,,
Child Protection,Kathmandu,524 2 05 27,Gongabu,524 2 05 27 5 028,Psychosocial support,,,355,,,
Child Protection,Kathmandu,524 2 05 27,Budhanilkantha,524 2 05 27 5 019,Psychosocial support,,,389,,,
Child Protection,Kathmandu,524 2 05 27,Dhapasi,524 2 05 27 5 027,Psychosocial support,,,344,,,
Child Protection,Kathmandu,524 2 05 27,Jorpati,524 2 05 27 5 012,Psychosocial support,,,425,,,
Child Protection,Kathmandu,524 2 05 27,Kapan,524 2 05 27 5 017,Psychosocial support,,,571,,,
Child Protection,Kathmandu,524 2 05 27,, ,Psychosocial support,,,2477,,,
Child Protection,Kathmandu,524 2 05 27,,,Psychosocial support,,,2154,,,
Child Protection,Kathmandu,524 2 05 27,Kathmandu Metropolitan,524 2 05 27 1 001,Psychosocial support,,,6765,,,
Child Protection,Kathmandu,524 2 05 27,Sundarijal,524 2 05 27 5 014,Psychosocial support,,,10,,,
Child Protection,Kathmandu,524 2 05 27,Chalnakhel,524 2 05 27 5 050,Psychosocial support,,,29,,,
Child Protection,Kathmandu,524 2 05 27,,,Unaccompanied and Separated Children identified,,,62,,,
Child Protection,Lalitpur,523 2 05 25,Chhampi,524 2 05 25 5 021,Establishment of child friendly spaces,, 1 ,,,,
Child Protection,Lalitpur,524 2 05 25,Harisiddhi,524 2 05 25 5 037,Establishment of child friendly spaces,,,44,,,
Child Protection,Lalitpur,524 2 05 25,Lalitpur Sub Metropolitan,524 2 05 25 2 001,Establishment of child friendly spaces,, 1 ,173,,,
Child Protection,Lalitpur,524 2 05 25,Chhampi,524 2 05 25 5 021,Establishment of child friendly spaces,, 1 ,80,,,
Child Protection,Lalitpur,524 2 05 25,,524 2 05 25 5 023,Establishment of child friendly spaces,, 9 ,660,,,
Child Protection,Lalitpur,524 2 05 25,Jharuwarasi,524 2 05 25 5 024,Establishment of child friendly spaces,, 1 ,103,,,
Child Protection,Lalitpur,524 2 05 25,Godawari,524 2 05 25 5 025,Establishment of child friendly spaces,, 1 ,112,,,
Child Protection,Lalitpur,524 2 05 25,Lamatar,524 2 05 25 5 028,Establishment of child friendly spaces,, 1 ,103,,,
Child Protection,Lalitpur,524 2 05 25,lubhu,524 2 05 25 5 029,Establishment of child friendly spaces,,4,826,,,
Child Protection,Lalitpur,524 2 05 25,Tikathali,524 2 05 25 5 030,Establishment of child friendly spaces,,1,50,,,
Child Protection,Lalitpur,524 2 05 25,Sairbu ,524 2 05 25 5 033,Establishment of child friendly spaces,,,190,,,
Child Protection,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Establishment of child friendly spaces,,3,296,,,
Child Protection,Lalitpur,524 2 05 25,Harisiddhi,524 2 05 25 5 037,Establishment of child friendly spaces,,2,445,,,
Child Protection,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Establishment of child friendly spaces,,3,148,,,
Child Protection,Lalitpur,524 2 05 25,Thecho,524 2 05 25 5 039,Establishment of child friendly spaces,,2,130,,,
Child Protection,Lalitpur,524 2 05 25,,,Psychosocial support,,,21,,,
Child Protection,Lalitpur,524 2 05 25,, ,Psychosocial support,,,96,,,
Child Protection,Lalitpur,524 2 05 25,Bisangkhunarayan,524 2 05 25 5 027,Psychosocial support,,,18,,,
Child Protection,Lalitpur,524 2 05 25,Dhapakhel,524 2 05 25 5 040,Psychosocial support,,,35,,,
Child Protection,Lalitpur,524 2 05 25,Godawari,524 2 05 25 5 025,Psychosocial support,,,97,,,
Child Protection,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Psychosocial support,,,13,,,
Child Protection,Lalitpur,524 2 05 25,Sairbu ,524 2 05 25 5 033,Psychosocial support,,,10,,,
Child Protection,Lalitpur,524 2 05 25,Lalitpur Sub Metropolitan,524 2 05 25 2 001,Psychosocial support,,,14,,,
Child Protection,Lalitpur,524 2 05 25,Bhattedanda,524 2 05 25 5 001,Psychosocial support,,,31,,,
Child Protection,Lalitpur,524 2 05 25,Sunakothi,524 2 05 25 5 035,Psychosocial support,,,135,,,
Child Protection,Lalitpur,524 2 05 25,Badikhel,524 2 05 25 5 023,Psychosocial support,,,32,,,
Child Protection,Lalitpur,524 2 05 25,Thecho,524 2 05 25 5 039,Psychosocial support,,,111,,,
Child Protection,Lalitpur,524 2 05 25,Godawari,524 2 05 25 5 025,Psychosocial support,,,53,,,
Child Protection,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Psychosocial support,,,73,,,
Child Protection,Lalitpur,524 2 05 25,Thaiba,524 2 05 25 5 036,Psychosocial support,,,107,,,
