District,Caste_ethnicity,Gender,Q1.i,Count,Tag
bhaktapur,dalit,female,psychosocial_counseling,0,health
bhaktapur,dalit,female,healthcare,0,health
bhaktapur,dalit,female,education,0,education
bhaktapur,dalit,female,seeds_and_fertilizers,0,food
bhaktapur,dalit,male,long_term_shelter__housing,1,housing
bhaktapur,dalit,male,short_term_shelter__tent_shelt,0,housing
bhaktapur,dalit,male,other,0,
bhaktapur,dalit,male,livelihoods,0,
bhaktapur,dalit,male,clean_water,0,water
bhaktapur,dalit,male,financial_support,0,financial
bhaktapur,dalit,male,food,0,food
bhaktapur,dalit,male,housing_inspections,0,housing
bhaktapur,dalit,male,toilets_sanitation,0,health
bhaktapur,dalit,male,psychosocial_counseling,0,health
bhaktapur,dalit,male,healthcare,0,health
bhaktapur,dalit,male,education,0,education
bhaktapur,dalit,male,seeds_and_fertilizers,0,food
bhaktapur,gurung,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,gurung,female,other,0,
bhaktapur,gurung,female,long_term_shelter__housing,0,housing
bhaktapur,gurung,female,livelihoods,0,
bhaktapur,gurung,female,clean_water,0,water
bhaktapur,gurung,female,financial_support,0,financial
bhaktapur,gurung,female,food,0,food
bhaktapur,gurung,female,housing_inspections,0,housing
bhaktapur,gurung,female,toilets_sanitation,0,health
bhaktapur,gurung,female,psychosocial_counseling,0,health
bhaktapur,gurung,female,healthcare,0,health
bhaktapur,gurung,female,education,0,education
bhaktapur,gurung,female,seeds_and_fertilizers,0,food
bhaktapur,gurung,male,short_term_shelter__tent_shelt,0,housing
bhaktapur,gurung,male,other,0,
bhaktapur,gurung,male,long_term_shelter__housing,0,housing
bhaktapur,gurung,male,livelihoods,0,
bhaktapur,gurung,male,clean_water,0,water
bhaktapur,gurung,male,financial_support,0,financial
bhaktapur,gurung,male,food,0,food
bhaktapur,gurung,male,housing_inspections,0,housing
bhaktapur,gurung,male,toilets_sanitation,0,health
bhaktapur,gurung,male,psychosocial_counseling,0,health
bhaktapur,gurung,male,healthcare,0,health
bhaktapur,gurung,male,education,0,education
bhaktapur,gurung,male,seeds_and_fertilizers,0,food
bhaktapur,janajati,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,janajati,female,other,0,
bhaktapur,janajati,female,long_term_shelter__housing,0,housing
bhaktapur,janajati,female,livelihoods,0,
bhaktapur,janajati,female,clean_water,0,water
bhaktapur,janajati,female,financial_support,0,financial
bhaktapur,janajati,female,food,0,food
bhaktapur,janajati,female,housing_inspections,0,housing
bhaktapur,janajati,female,toilets_sanitation,0,health
bhaktapur,janajati,female,psychosocial_counseling,0,health
bhaktapur,janajati,female,healthcare,0,health
bhaktapur,janajati,female,education,0,education
bhaktapur,janajati,female,seeds_and_fertilizers,0,food
bhaktapur,janajati,male,short_term_shelter__tent_shelt,0,housing
bhaktapur,janajati,male,other,0,
bhaktapur,janajati,male,long_term_shelter__housing,0,housing
bhaktapur,janajati,male,livelihoods,0,
bhaktapur,janajati,male,clean_water,0,water
bhaktapur,janajati,male,financial_support,0,financial
bhaktapur,janajati,male,food,0,food
bhaktapur,janajati,male,housing_inspections,0,housing
bhaktapur,janajati,male,toilets_sanitation,0,health
bhaktapur,janajati,male,psychosocial_counseling,0,health
bhaktapur,janajati,male,healthcare,0,health
bhaktapur,janajati,male,education,0,education
bhaktapur,janajati,male,seeds_and_fertilizers,0,food
bhaktapur,muslim,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,muslim,female,other,0,
bhaktapur,muslim,female,long_term_shelter__housing,0,housing
bhaktapur,muslim,female,livelihoods,0,
bhaktapur,muslim,female,clean_water,0,water
bhaktapur,muslim,female,financial_support,0,financial
bhaktapur,muslim,female,food,0,food
bhaktapur,muslim,female,housing_inspections,0,housing
bhaktapur,muslim,female,toilets_sanitation,0,health
bhaktapur,muslim,female,psychosocial_counseling,0,health
bhaktapur,muslim,female,healthcare,0,health
bhaktapur,muslim,female,education,0,education
bhaktapur,muslim,female,seeds_and_fertilizers,0,food
bhaktapur,muslim,male,short_term_shelter__tent_shelt,0,housing
bhaktapur,muslim,male,other,0,
bhaktapur,muslim,male,long_term_shelter__housing,0,housing
bhaktapur,muslim,male,livelihoods,0,
bhaktapur,muslim,male,clean_water,0,water
bhaktapur,muslim,male,financial_support,0,financial
bhaktapur,muslim,male,food,0,food
bhaktapur,muslim,male,housing_inspections,0,housing
bhaktapur,muslim,male,toilets_sanitation,0,health
bhaktapur,muslim,male,psychosocial_counseling,0,health
bhaktapur,muslim,male,healthcare,0,health
bhaktapur,muslim,male,education,0,education
bhaktapur,muslim,male,seeds_and_fertilizers,0,food
bhaktapur,newar,female,long_term_shelter__housing,24,housing
bhaktapur,newar,female,short_term_shelter__tent_shelt,9,housing
bhaktapur,newar,female,food,1,food
bhaktapur,newar,female,other,0,
bhaktapur,newar,female,livelihoods,0,
bhaktapur,newar,female,clean_water,0,water
bhaktapur,newar,female,financial_support,0,financial
bhaktapur,newar,female,housing_inspections,0,housing
bhaktapur,newar,female,toilets_sanitation,0,health
bhaktapur,newar,female,psychosocial_counseling,0,health
bhaktapur,newar,female,healthcare,0,health
bhaktapur,newar,female,education,0,education
bhaktapur,newar,female,seeds_and_fertilizers,0,food
bhaktapur,newar,male,long_term_shelter__housing,35,housing
bhaktapur,newar,male,short_term_shelter__tent_shelt,10,housing
bhaktapur,newar,male,housing_inspections,2,housing
bhaktapur,newar,male,livelihoods,1,
bhaktapur,newar,male,clean_water,1,water
bhaktapur,newar,male,financial_support,1,financial
bhaktapur,newar,male,healthcare,1,health
bhaktapur,newar,male,other,0,
bhaktapur,newar,male,food,0,food
bhaktapur,newar,male,toilets_sanitation,0,health
bhaktapur,newar,male,psychosocial_counseling,0,health
bhaktapur,newar,male,education,0,education
bhaktapur,newar,male,seeds_and_fertilizers,0,food
bhaktapur,other,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,other,female,other,0,
bhaktapur,other,female,long_term_shelter__housing,0,housing
bhaktapur,other,female,livelihoods,0,
bhaktapur,other,female,clean_water,0,water
bhaktapur,other,female,financial_support,0,financial
bhaktapur,other,female,food,0,food
bhaktapur,other,female,housing_inspections,0,housing
bhaktapur,other,female,toilets_sanitation,0,health
bhaktapur,other,female,psychosocial_counseling,0,health
bhaktapur,other,female,healthcare,0,health
bhaktapur,other,female,education,0,education
bhaktapur,other,female,seeds_and_fertilizers,0,food
bhaktapur,other,male,short_term_shelter__tent_shelt,1,housing
bhaktapur,other,male,education,1,education
bhaktapur,other,male,other,0,
bhaktapur,other,male,long_term_shelter__housing,0,housing
bhaktapur,other,male,livelihoods,0,
bhaktapur,other,male,clean_water,0,water
bhaktapur,other,male,financial_support,0,financial
bhaktapur,other,male,food,0,food
bhaktapur,other,male,housing_inspections,0,housing
bhaktapur,other,male,toilets_sanitation,0,health
bhaktapur,other,male,psychosocial_counseling,0,health
bhaktapur,other,male,healthcare,0,health
bhaktapur,other,male,seeds_and_fertilizers,0,food
bhaktapur,tamang,female,long_term_shelter__housing,4,housing
bhaktapur,tamang,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,tamang,female,other,0,
bhaktapur,tamang,female,livelihoods,0,
bhaktapur,tamang,female,clean_water,0,water
bhaktapur,tamang,female,financial_support,0,financial
bhaktapur,tamang,female,food,0,food
bhaktapur,tamang,female,housing_inspections,0,housing
bhaktapur,tamang,female,toilets_sanitation,0,health
bhaktapur,tamang,female,psychosocial_counseling,0,health
bhaktapur,tamang,female,healthcare,0,health
bhaktapur,tamang,female,education,0,education
bhaktapur,tamang,female,seeds_and_fertilizers,0,food
bhaktapur,tamang,male,short_term_shelter__tent_shelt,2,housing
bhaktapur,tamang,male,long_term_shelter__housing,1,housing
bhaktapur,tamang,male,other,0,
bhaktapur,tamang,male,livelihoods,0,
bhaktapur,tamang,male,clean_water,0,water
bhaktapur,tamang,male,financial_support,0,financial
bhaktapur,tamang,male,food,0,food
bhaktapur,tamang,male,housing_inspections,0,housing
bhaktapur,tamang,male,toilets_sanitation,0,health
bhaktapur,tamang,male,psychosocial_counseling,0,health
bhaktapur,tamang,male,healthcare,0,health
bhaktapur,tamang,male,education,0,education
bhaktapur,tamang,male,seeds_and_fertilizers,0,food
dhading,brahmin,female,long_term_shelter__housing,2,housing
dhading,brahmin,female,toilets_sanitation,2,health
dhading,brahmin,female,clean_water,1,water
dhading,brahmin,female,seeds_and_fertilizers,1,food
dhading,brahmin,female,short_term_shelter__tent_shelt,0,housing
dhading,brahmin,female,other,0,
dhading,brahmin,female,livelihoods,0,
dhading,brahmin,female,financial_support,0,financial
dhading,brahmin,female,food,0,food
dhading,brahmin,female,housing_inspections,0,housing
dhading,brahmin,female,psychosocial_counseling,0,health
dhading,brahmin,female,healthcare,0,health
dhading,brahmin,female,education,0,education
dhading,brahmin,male,long_term_shelter__housing,14,housing
dhading,brahmin,male,short_term_shelter__tent_shelt,2,housing
dhading,brahmin,male,livelihoods,2,
dhading,brahmin,male,clean_water,1,water
dhading,brahmin,male,financial_support,1,financial
dhading,brahmin,male,education,1,education
dhading,brahmin,male,other,0,
dhading,brahmin,male,food,0,food
dhading,brahmin,male,housing_inspections,0,housing
dhading,brahmin,male,toilets_sanitation,0,health
dhading,brahmin,male,psychosocial_counseling,0,health
dhading,brahmin,male,healthcare,0,health
dhading,brahmin,male,seeds_and_fertilizers,0,food
dhading,chhetri,female,long_term_shelter__housing,6,housing
dhading,chhetri,female,education,1,education
dhading,chhetri,female,short_term_shelter__tent_shelt,0,housing
dhading,chhetri,female,other,0,
dhading,chhetri,female,livelihoods,0,
dhading,chhetri,female,clean_water,0,water
dhading,chhetri,female,financial_support,0,financial
dhading,chhetri,female,food,0,food
dhading,chhetri,female,housing_inspections,0,housing
dhading,chhetri,female,toilets_sanitation,0,health
dhading,chhetri,female,psychosocial_counseling,0,health
dhading,chhetri,female,healthcare,0,health
dhading,chhetri,female,seeds_and_fertilizers,0,food
dhading,chhetri,male,long_term_shelter__housing,15,housing
dhading,chhetri,male,toilets_sanitation,2,health
dhading,chhetri,male,short_term_shelter__tent_shelt,1,housing
dhading,chhetri,male,other,1,
dhading,chhetri,male,financial_support,1,financial
dhading,chhetri,male,livelihoods,0,
dhading,chhetri,male,clean_water,0,water
dhading,chhetri,male,food,0,food
dhading,chhetri,male,housing_inspections,0,housing
dhading,chhetri,male,psychosocial_counseling,0,health
dhading,chhetri,male,healthcare,0,health
dhading,chhetri,male,education,0,education
dhading,chhetri,male,seeds_and_fertilizers,0,food
dhading,dalit,female,long_term_shelter__housing,2,housing
dhading,dalit,female,short_term_shelter__tent_shelt,0,housing
dhading,dalit,female,other,0,
dhading,dalit,female,livelihoods,0,
dhading,dalit,female,clean_water,0,water
dhading,dalit,female,financial_support,0,financial
dhading,dalit,female,food,0,food
dhading,dalit,female,housing_inspections,0,housing
dhading,dalit,female,toilets_sanitation,0,health
dhading,dalit,female,psychosocial_counseling,0,health
dhading,dalit,female,healthcare,0,health
dhading,dalit,female,education,0,education
dhading,dalit,female,seeds_and_fertilizers,0,food
dhading,dalit,male,long_term_shelter__housing,10,housing
dhading,dalit,male,short_term_shelter__tent_shelt,1,housing
dhading,dalit,male,livelihoods,1,
dhading,dalit,male,food,1,food
dhading,dalit,male,education,1,education
dhading,dalit,male,other,0,
dhading,dalit,male,clean_water,0,water
dhading,dalit,male,financial_support,0,financial
dhading,dalit,male,housing_inspections,0,housing
dhading,dalit,male,toilets_sanitation,0,health
dhading,dalit,male,psychosocial_counseling,0,health
dhading,dalit,male,healthcare,0,health
dhading,dalit,male,seeds_and_fertilizers,0,food
dhading,gurung,female,long_term_shelter__housing,2,housing
dhading,gurung,female,short_term_shelter__tent_shelt,1,housing
dhading,gurung,female,other,0,
dhading,gurung,female,livelihoods,0,
dhading,gurung,female,clean_water,0,water
dhading,gurung,female,financial_support,0,financial
dhading,gurung,female,food,0,food
dhading,gurung,female,housing_inspections,0,housing
dhading,gurung,female,toilets_sanitation,0,health
dhading,gurung,female,psychosocial_counseling,0,health
dhading,gurung,female,healthcare,0,health
dhading,gurung,female,education,0,education
dhading,gurung,female,seeds_and_fertilizers,0,food
dhading,gurung,male,long_term_shelter__housing,5,housing
dhading,gurung,male,short_term_shelter__tent_shelt,1,housing
dhading,gurung,male,clean_water,1,water
dhading,gurung,male,education,1,education
dhading,gurung,male,other,0,
dhading,gurung,male,livelihoods,0,
dhading,gurung,male,financial_support,0,financial
dhading,gurung,male,food,0,food
dhading,gurung,male,housing_inspections,0,housing
dhading,gurung,male,toilets_sanitation,0,health
dhading,gurung,male,psychosocial_counseling,0,health
dhading,gurung,male,healthcare,0,health
dhading,gurung,male,seeds_and_fertilizers,0,food
dhading,janajati,female,long_term_shelter__housing,11,housing
dhading,janajati,female,short_term_shelter__tent_shelt,2,housing
dhading,janajati,female,livelihoods,1,
dhading,janajati,female,financial_support,1,financial
dhading,janajati,female,education,1,education
dhading,janajati,female,other,0,
dhading,janajati,female,clean_water,0,water
dhading,janajati,female,food,0,food
dhading,janajati,female,housing_inspections,0,housing
dhading,janajati,female,toilets_sanitation,0,health
dhading,janajati,female,psychosocial_counseling,0,health
dhading,janajati,female,healthcare,0,health
dhading,janajati,female,seeds_and_fertilizers,0,food
dhading,janajati,male,long_term_shelter__housing,10,housing
dhading,janajati,male,short_term_shelter__tent_shelt,4,housing
dhading,janajati,male,housing_inspections,1,housing
dhading,janajati,male,toilets_sanitation,1,health
dhading,janajati,male,healthcare,1,health
dhading,janajati,male,other,0,
dhading,janajati,male,livelihoods,0,
dhading,janajati,male,clean_water,0,water
dhading,janajati,male,financial_support,0,financial
dhading,janajati,male,food,0,food
dhading,janajati,male,psychosocial_counseling,0,health
dhading,janajati,male,education,0,education
dhading,janajati,male,seeds_and_fertilizers,0,food
dhading,muslim,female,short_term_shelter__tent_shelt,0,housing
dhading,muslim,female,other,0,
dhading,muslim,female,long_term_shelter__housing,0,housing
dhading,muslim,female,livelihoods,0,
dhading,muslim,female,clean_water,0,water
dhading,muslim,female,financial_support,0,financial
dhading,muslim,female,food,0,food
dhading,muslim,female,housing_inspections,0,housing
dhading,muslim,female,toilets_sanitation,0,health
dhading,muslim,female,psychosocial_counseling,0,health
dhading,muslim,female,healthcare,0,health
dhading,muslim,female,education,0,education
dhading,muslim,female,seeds_and_fertilizers,0,food
dhading,muslim,male,short_term_shelter__tent_shelt,0,housing
dhading,muslim,male,other,0,
dhading,muslim,male,long_term_shelter__housing,0,housing
dhading,muslim,male,livelihoods,0,
dhading,muslim,male,clean_water,0,water
dhading,muslim,male,financial_support,0,financial
dhading,muslim,male,food,0,food
dhading,muslim,male,housing_inspections,0,housing
dhading,muslim,male,toilets_sanitation,0,health
dhading,muslim,male,psychosocial_counseling,0,health
dhading,muslim,male,healthcare,0,health
dhading,muslim,male,education,0,education
dhading,muslim,male,seeds_and_fertilizers,0,food
dhading,newar,female,long_term_shelter__housing,3,housing
dhading,newar,female,short_term_shelter__tent_shelt,2,housing
dhading,newar,female,other,0,
dhading,newar,female,livelihoods,0,
dhading,newar,female,clean_water,0,water
dhading,newar,female,financial_support,0,financial
dhading,newar,female,food,0,food
dhading,newar,female,housing_inspections,0,housing
dhading,newar,female,toilets_sanitation,0,health
dhading,newar,female,psychosocial_counseling,0,health
dhading,newar,female,healthcare,0,health
dhading,newar,female,education,0,education
dhading,newar,female,seeds_and_fertilizers,0,food
dhading,newar,male,long_term_shelter__housing,4,housing
dhading,newar,male,other,1,
dhading,newar,male,financial_support,1,financial
dhading,newar,male,short_term_shelter__tent_shelt,0,housing
dhading,newar,male,livelihoods,0,
dhading,newar,male,clean_water,0,water
dhading,newar,male,food,0,food
dhading,newar,male,housing_inspections,0,housing
dhading,newar,male,toilets_sanitation,0,health
dhading,newar,male,psychosocial_counseling,0,health
dhading,newar,male,healthcare,0,health
dhading,newar,male,education,0,education
dhading,newar,male,seeds_and_fertilizers,0,food
dhading,other,female,long_term_shelter__housing,1,housing
dhading,other,female,clean_water,1,water
dhading,other,female,short_term_shelter__tent_shelt,0,housing
dhading,other,female,other,0,
dhading,other,female,livelihoods,0,
dhading,other,female,financial_support,0,financial
dhading,other,female,food,0,food
dhading,other,female,housing_inspections,0,housing
dhading,other,female,toilets_sanitation,0,health
dhading,other,female,psychosocial_counseling,0,health
dhading,other,female,healthcare,0,health
dhading,other,female,education,0,education
dhading,other,female,seeds_and_fertilizers,0,food
dhading,other,male,long_term_shelter__housing,3,housing
dhading,other,male,livelihoods,1,
dhading,other,male,toilets_sanitation,1,health
dhading,other,male,education,1,education
dhading,other,male,short_term_shelter__tent_shelt,0,housing
dhading,other,male,other,0,
dhading,other,male,clean_water,0,water
dhading,other,male,financial_support,0,financial
dhading,other,male,food,0,food
dhading,other,male,housing_inspections,0,housing
dhading,other,male,psychosocial_counseling,0,health
dhading,other,male,healthcare,0,health
dhading,other,male,seeds_and_fertilizers,0,food
dhading,tamang,female,long_term_shelter__housing,3,housing
dhading,tamang,female,short_term_shelter__tent_shelt,0,housing
dhading,tamang,female,other,0,
dhading,tamang,female,livelihoods,0,
dhading,tamang,female,clean_water,0,water
dhading,tamang,female,financial_support,0,financial
dhading,tamang,female,food,0,food
dhading,tamang,female,housing_inspections,0,housing
dhading,tamang,female,toilets_sanitation,0,health
dhading,tamang,female,psychosocial_counseling,0,health
dhading,tamang,female,healthcare,0,health
dhading,tamang,female,education,0,education
dhading,tamang,female,seeds_and_fertilizers,0,food
dhading,tamang,male,long_term_shelter__housing,7,housing
dhading,tamang,male,clean_water,2,water
dhading,tamang,male,short_term_shelter__tent_shelt,0,housing
dhading,tamang,male,other,0,
dhading,tamang,male,livelihoods,0,
dhading,tamang,male,financial_support,0,financial
dhading,tamang,male,food,0,food
dhading,tamang,male,housing_inspections,0,housing
dhading,tamang,male,toilets_sanitation,0,health
dhading,tamang,male,psychosocial_counseling,0,health
dhading,tamang,male,healthcare,0,health
dhading,tamang,male,education,0,education
dhading,tamang,male,seeds_and_fertilizers,0,food
dolakha,brahmin,female,long_term_shelter__housing,5,housing
dolakha,brahmin,female,short_term_shelter__tent_shelt,2,housing
dolakha,brahmin,female,other,0,
dolakha,brahmin,female,livelihoods,0,
dolakha,brahmin,female,clean_water,0,water
dolakha,brahmin,female,financial_support,0,financial
dolakha,brahmin,female,food,0,food
dolakha,brahmin,female,housing_inspections,0,housing
dolakha,brahmin,female,toilets_sanitation,0,health
dolakha,brahmin,female,psychosocial_counseling,0,health
dolakha,brahmin,female,healthcare,0,health
dolakha,brahmin,female,education,0,education
dolakha,brahmin,female,seeds_and_fertilizers,0,food
dolakha,brahmin,male,long_term_shelter__housing,19,housing
dolakha,brahmin,male,livelihoods,1,
dolakha,brahmin,male,short_term_shelter__tent_shelt,0,housing
dolakha,brahmin,male,other,0,
dolakha,brahmin,male,clean_water,0,water
dolakha,brahmin,male,financial_support,0,financial
dolakha,brahmin,male,food,0,food
dolakha,brahmin,male,housing_inspections,0,housing
dolakha,brahmin,male,toilets_sanitation,0,health
dolakha,brahmin,male,psychosocial_counseling,0,health
dolakha,brahmin,male,healthcare,0,health
dolakha,brahmin,male,education,0,education
dolakha,brahmin,male,seeds_and_fertilizers,0,food
dolakha,chhetri,female,long_term_shelter__housing,20,housing
dolakha,chhetri,female,short_term_shelter__tent_shelt,2,housing
dolakha,chhetri,female,financial_support,1,financial
dolakha,chhetri,female,toilets_sanitation,1,health
dolakha,chhetri,female,other,0,
dolakha,chhetri,female,livelihoods,0,
dolakha,chhetri,female,clean_water,0,water
dolakha,chhetri,female,food,0,food
dolakha,chhetri,female,housing_inspections,0,housing
dolakha,chhetri,female,psychosocial_counseling,0,health
dolakha,chhetri,female,healthcare,0,health
dolakha,chhetri,female,education,0,education
dolakha,chhetri,female,seeds_and_fertilizers,0,food
dolakha,chhetri,male,long_term_shelter__housing,27,housing
dolakha,chhetri,male,short_term_shelter__tent_shelt,4,housing
dolakha,chhetri,male,livelihoods,1,
dolakha,chhetri,male,financial_support,1,financial
dolakha,chhetri,male,healthcare,1,health
dolakha,chhetri,male,other,0,
dolakha,chhetri,male,clean_water,0,water
dolakha,chhetri,male,food,0,food
dolakha,chhetri,male,housing_inspections,0,housing
dolakha,chhetri,male,toilets_sanitation,0,health
dolakha,chhetri,male,psychosocial_counseling,0,health
dolakha,chhetri,male,education,0,education
dolakha,chhetri,male,seeds_and_fertilizers,0,food
dolakha,dalit,female,long_term_shelter__housing,9,housing
dolakha,dalit,female,livelihoods,1,
dolakha,dalit,female,short_term_shelter__tent_shelt,0,housing
dolakha,dalit,female,other,0,
dolakha,dalit,female,clean_water,0,water
dolakha,dalit,female,financial_support,0,financial
dolakha,dalit,female,food,0,food
dolakha,dalit,female,housing_inspections,0,housing
dolakha,dalit,female,toilets_sanitation,0,health
dolakha,dalit,female,psychosocial_counseling,0,health
dolakha,dalit,female,healthcare,0,health
dolakha,dalit,female,education,0,education
dolakha,dalit,female,seeds_and_fertilizers,0,food
dolakha,dalit,male,long_term_shelter__housing,9,housing
dolakha,dalit,male,livelihoods,2,
dolakha,dalit,male,short_term_shelter__tent_shelt,1,housing
dolakha,dalit,male,financial_support,1,financial
dolakha,dalit,male,other,0,
dolakha,dalit,male,clean_water,0,water
dolakha,dalit,male,food,0,food
dolakha,dalit,male,housing_inspections,0,housing
dolakha,dalit,male,toilets_sanitation,0,health
dolakha,dalit,male,psychosocial_counseling,0,health
dolakha,dalit,male,healthcare,0,health
dolakha,dalit,male,education,0,education
dolakha,dalit,male,seeds_and_fertilizers,0,food
dolakha,gurung,female,short_term_shelter__tent_shelt,0,housing
dolakha,gurung,female,other,0,
dolakha,gurung,female,long_term_shelter__housing,0,housing
dolakha,gurung,female,livelihoods,0,
dolakha,gurung,female,clean_water,0,water
dolakha,gurung,female,financial_support,0,financial
dolakha,gurung,female,food,0,food
dolakha,gurung,female,housing_inspections,0,housing
dolakha,gurung,female,toilets_sanitation,0,health
dolakha,gurung,female,psychosocial_counseling,0,health
dolakha,gurung,female,healthcare,0,health
dolakha,gurung,female,education,0,education
dolakha,gurung,female,seeds_and_fertilizers,0,food
dolakha,gurung,male,short_term_shelter__tent_shelt,0,housing
dolakha,gurung,male,other,0,
dolakha,gurung,male,long_term_shelter__housing,0,housing
dolakha,gurung,male,livelihoods,0,
dolakha,gurung,male,clean_water,0,water
dolakha,gurung,male,financial_support,0,financial
dolakha,gurung,male,food,0,food
dolakha,gurung,male,housing_inspections,0,housing
dolakha,gurung,male,toilets_sanitation,0,health
dolakha,gurung,male,psychosocial_counseling,0,health
dolakha,gurung,male,healthcare,0,health
dolakha,gurung,male,education,0,education
dolakha,gurung,male,seeds_and_fertilizers,0,food
dolakha,janajati,female,long_term_shelter__housing,13,housing
dolakha,janajati,female,short_term_shelter__tent_shelt,1,housing
dolakha,janajati,female,other,0,
dolakha,janajati,female,livelihoods,0,
dolakha,janajati,female,clean_water,0,water
dolakha,janajati,female,financial_support,0,financial
dolakha,janajati,female,food,0,food
dolakha,janajati,female,housing_inspections,0,housing
dolakha,janajati,female,toilets_sanitation,0,health
dolakha,janajati,female,psychosocial_counseling,0,health
dolakha,janajati,female,healthcare,0,health
dolakha,janajati,female,education,0,education
dolakha,janajati,female,seeds_and_fertilizers,0,food
dolakha,janajati,male,long_term_shelter__housing,16,housing
dolakha,janajati,male,short_term_shelter__tent_shelt,2,housing
dolakha,janajati,male,other,0,
dolakha,janajati,male,livelihoods,0,
dolakha,janajati,male,clean_water,0,water
dolakha,janajati,male,financial_support,0,financial
dolakha,janajati,male,food,0,food
dolakha,janajati,male,housing_inspections,0,housing
dolakha,janajati,male,toilets_sanitation,0,health
dolakha,janajati,male,psychosocial_counseling,0,health
dolakha,janajati,male,healthcare,0,health
dolakha,janajati,male,education,0,education
dolakha,janajati,male,seeds_and_fertilizers,0,food
dolakha,muslim,female,short_term_shelter__tent_shelt,0,housing
dolakha,muslim,female,other,0,
dolakha,muslim,female,long_term_shelter__housing,0,housing
dolakha,muslim,female,livelihoods,0,
dolakha,muslim,female,clean_water,0,water
dolakha,muslim,female,financial_support,0,financial
dolakha,muslim,female,food,0,food
dolakha,muslim,female,housing_inspections,0,housing
dolakha,muslim,female,toilets_sanitation,0,health
dolakha,muslim,female,psychosocial_counseling,0,health
dolakha,muslim,female,healthcare,0,health
dolakha,muslim,female,education,0,education
dolakha,muslim,female,seeds_and_fertilizers,0,food
dolakha,muslim,male,short_term_shelter__tent_shelt,0,housing
dolakha,muslim,male,other,0,
dolakha,muslim,male,long_term_shelter__housing,0,housing
dolakha,muslim,male,livelihoods,0,
dolakha,muslim,male,clean_water,0,water
dolakha,muslim,male,financial_support,0,financial
dolakha,muslim,male,food,0,food
